REQUESTID,DATETIMEINIT,SOURCE,DESCRIPTION,REQCATEGORY,STATUS,COUNCILDISTRICT,BEAT,PROBADDRESS,City,State,lat,long
987505,2/17/2020 13:11,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,33X,1340 83RD AVE,Oakland,CA,37.75437167,-122.1791383
990794,2/27/2020 9:25,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD2,14X,GRAND AVE & MACARTHUR BLVD,Oakland,CA,37.81016504,-122.2487668
984751,2/6/2020 16:53,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD3,14X,LAKESIDE PARK,Oakland,CA,37.81082167,-122.2606367
990377,2/26/2020 7:07,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,31Y,252-272 HEGENBERGER LOOP,Oakland,CA,37.73702967,-122.19625
986956,2/14/2020 9:45,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD3,05X,1700 KIRKHAM ST,Oakland,CA,37.81271245,-122.2893685
984259,2/5/2020 11:49,Phone,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD6,26X,525 66TH AV,Oakland,CA,37.75498253,-122.207987
983982,2/4/2020 14:39,Phone,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD3,07X,27TH ST & ALICIA ST,Oakland,CA,37.81772328,-122.2765805
984708,2/6/2020 15:23,Phone,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD3,02Y,929 WOOD ST,Oakland,CA,37.80983948,-122.3006481
991580,2/29/2020 23:25,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,32X,E ST & 100TH AV,Oakland,CA,37.73948204,-122.1750283
985421,2/9/2020 17:50,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD1,12X,552 43RD ST,Oakland,CA,37.83218718,-122.265408
986285,2/11/2020 17:50,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD2,03X,6TH ST & FRANKLIN ST,Oakland,CA,37.79835504,-122.2733968
989203,2/21/2020 22:38,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD2,19X,E 8TH ST & PARK WAY,Oakland,CA,37.79125004,-122.2551538
988737,2/21/2020 6:40,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,31Y,750 LOUISIANA ST,Oakland,CA,37.74030901,-122.185668
986305,2/11/2020 20:36,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD3,07X,ALICIA ST & 27TH ST,Oakland,CA,37.81801642,-122.2766956
985119,2/8/2020 11:14,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD2,15X,PINE KNOLL PARK,Oakland,CA,37.80196598,-122.2530017
987594,2/17/2020 21:02,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,32Y,2615 DURANT AVE,Oakland,CA,37.74116663,-122.1482034
990848,2/27/2020 10:54,Phone or Email,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD3,07X,2800 ETTIE ST,Oakland,CA,37.82144766,-122.2872621
983942,2/4/2020 13:38,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD7,31Y,9809 KITTY LN,Oakland,CA,37.72725529,-122.196767
984664,2/6/2020 13:20,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD3,08X,3407 ELM ST,Oakland,CA,37.82226096,-122.2652562
988459,2/20/2020 13:44,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD3,06X,825�829 27TH ST,Oakland,CA,37.81757972,-122.2748587
983092,2/1/2020 11:38,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,31Z,216 ISLETON AVE,Oakland,CA,37.73052216,-122.1833649
990670,2/26/2020 17:45,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,34X,1705 96TH AVE,Oakland,CA,37.74741518,-122.1680806
984706,2/6/2020 15:21,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD2,03X,LAKESIDE PARK,Oakland,CA,37.79861069,-122.2598877
986565,2/13/2020 8:37,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD1,10X,60TH & SAN PABLO AVE,Oakland,CA,37.84384163,-122.2845426
984530,2/6/2020 9:11,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD2,03X,LAKESIDE PARK,Oakland,CA,37.7982489,-122.2598351
984403,2/5/2020 17:43,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD1,12X,500 45TH ST,Oakland,CA,37.83306016,-122.263475
989772,2/24/2020 13:38,Phone,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,34X,94TH AV & CHERRY ST,Oakland,CA,37.74920568,-122.1682355
987513,2/17/2020 13:40,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD3,08X,2600 NORTHGATE AVE,Oakland,CA,37.81542519,-122.2700404
986022,2/11/2020 10:35,Phone,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD6,30X,1501 68TH AV,Oakland,CA,37.76175523,-122.1899771
990260,2/25/2020 15:01,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD1,12Y,CLAREMONT AVE & HUDSON ST,Oakland,CA,37.84290504,-122.2576068
983322,2/2/2020 18:50,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD1,13Y,BROADWAY,Oakland,CA,37.848075,-122.2268967
987797,2/18/2020 11:20,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,31Y,9131 SAN LEANDRO ST,Oakland,CA,37.74363507,-122.1852571
987568,2/17/2020 17:30,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD3,03Y,9TH ST & CASTRO ST,Oakland,CA,37.80323642,-122.2792632
989433,2/23/2020 11:42,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD6,29X,5844 WALNUT ST,Oakland,CA,37.7720328,-122.1904347
988639,2/20/2020 18:58,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,31Y,538�544 85TH AVE,Oakland,CA,37.741225,-122.1921467
986779,2/13/2020 14:34,Email,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD6,27Y,5801 TRASK ST,Oakland,CA,37.77056533,-122.1935034
984759,2/6/2020 17:22,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD2,19X,E 12TH ST & 15TH AVE,Oakland,CA,37.78814504,-122.2459768
984670,2/6/2020 13:35,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD3,08X,MOSSWOOD PARK,Oakland,CA,37.8248239,-122.2603431
984958,2/7/2020 13:34,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD2,14X,GRAND AVE & MACARTHUR BLVD,Oakland,CA,37.81016504,-122.2487668
989747,2/24/2020 12:37,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD3,01X,381 5TH ST,Oakland,CA,37.79749167,-122.2734917
986595,2/13/2020 9:14,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD2,15X,ATHOL PLAZA,Oakland,CA,37.79978451,-122.2542094
984699,2/6/2020 14:56,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD3,02Y,3RD ST & PERALTA ST,Oakland,CA,37.803582,-122.3001495
987152,2/14/2020 16:04,Phone,Homeless Encampment,HE_CLEAN,OPEN,CCD2,03X,362 8TH ST,Oakland,CA,37.79942537,-122.2716434
986446,2/12/2020 15:21,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD3,05X,1600 KIRKHAM ST,Oakland,CA,37.81202253,-122.2896251
990563,2/26/2020 12:53,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD3,08X,VETERANS MEMORIAL BLDG DOWNTOWN SENIOR CENTER,Oakland,CA,37.81158333,-122.2620917
985450,2/10/2020 7:56,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD7,31Z,9907 BERNHARDT DR,Oakland,CA,37.73105766,-122.1870311
988032,2/18/2020 17:20,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD6,26Y,SEMINARY AVE & INTERNATIONAL BLVD,Oakland,CA,37.76508504,-122.1995468
987231,2/15/2020 11:57,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD3,01X,381 5TH STREET,Oakland,CA,37.797336,-122.2737255
986661,2/13/2020 10:15,Email,Homeless Encampment,HE_CLEAN,CANCEL,CCD5,27Y,BANCROFT WAY & 47TH AVE,Oakland,CA,37.77158504,-122.2098868
988181,2/19/2020 9:20,Phone,Homeless Encampment,HE_CLEAN,CANCEL,CCD3,08X,540 23RD ST,Oakland,CA,37.81288663,-122.2700319
984852,2/7/2020 9:36,Email,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD6,26X,6233 SAN LEANDRO ST,Oakland,CA,37.75922726,-122.2037262
985318,2/9/2020 14:18,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,32Y,9920 MACARTHUR BLVD,Oakland,CA,37.74723507,-122.1568247
991205,2/28/2020 9:58,Email,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD5,26Y,1030 54TH AVE,Oakland,CA,37.76515333,-122.208402
990505,2/26/2020 11:14,SeeClickFix,Homeless Encampment,HE_CLEAN,OPEN,CCD1,12X,52ND ST & DOVER ST,Oakland,CA,37.836855,-122.267196
988049,2/18/2020 17:50,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD5,24X,2300�2398 35TH AVE,Oakland,CA,37.78597943,-122.213716
983762,2/4/2020 8:23,Email,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD5,19X,FREDERICK ST & KING ST,Oakland,CA,37.77825817,-122.2400793
985073,2/7/2020 20:48,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD1,12Y,5445 LOCKSLEY AVE,Oakland,CA,37.84263673,-122.2545669
988363,2/20/2020 11:08,Email,Homeless Encampment,HE_CLEAN,OPEN,CCD3,09X,3500 KEMPTON WY,Oakland,CA,37.82214832,-122.2551993
986796,2/13/2020 15:14,Phone,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD5,19X,955 KENNEDY ST,Oakland,CA,37.77911837,-122.2382836
984906,2/7/2020 11:13,SeeClickFix,Homeless Encampment,HE_CLEAN,OPEN,CCD7,33X,8311 INTERNATIONAL BLVD,Oakland,CA,37.75463449,-122.1782594
985863,2/10/2020 17:30,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD3,02Y,1111 PINE ST,Oakland,CA,37.81177309,-122.3007178
989512,2/23/2020 20:27,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,32X,1505 100TH AVE,Oakland,CA,37.743417,-122.1676695
984544,2/6/2020 9:27,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD3,02X,333 FILBERT ST,Oakland,CA,37.801278,-122.2862625
991368,2/28/2020 15:25,Phone,Homeless Encampment,HE_CLEAN,CANCEL,CCD7,26Y,850 77TH AV,Oakland,CA,37.75197918,-122.1929178
986001,2/11/2020 10:03,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD7,31Z,105TH AVE & SAN LEANDRO ST,Oakland,CA,37.73532504,-122.1750468
983074,2/1/2020 10:17,SeeClickFix,Homeless Encampment,HE_CLEAN,OPEN,CCD3,07X,2200 BRUSH ST,Oakland,CA,37.81297836,-122.2745793
986123,2/11/2020 13:22,Phone,Homeless Encampment,HE_CLEAN,CANCEL,CCD3,08X,MOSSWOOD PARK,Oakland,CA,37.8238632,-122.2619149
990060,2/25/2020 9:28,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD2,14X,GRAND AVE & MACARTHUR BLVD,Oakland,CA,37.81016504,-122.2487668
990492,2/26/2020 10:59,Phone,Homeless Encampment,HE_CLEAN,CLOSED,CCD7,31Y,8511 SAN LEANDRO ST,Oakland,CA,37.74681618,-122.1889407
988471,2/20/2020 13:51,SeeClickFix,Homeless Encampment,HE_CLEAN,OPEN,CCD2,16X,MANDANA BLVD & LAKESHORE AVE,Oakland,CA,37.811538,-122.2421895
991079,2/27/2020 20:06,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD1,10X,61ST ST & MARSHALL ST,Oakland,CA,37.84378504,-122.2849568
985105,2/8/2020 10:13,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD3,08X,MEDIAN OAKLAND AVE,Oakland,CA,37.81570858,-122.2586343
988213,2/19/2020 10:45,Phone,Homeless Encampment,HE_CLEAN,CANCEL,CCD7,32Y,FOOTHILL BLVD & 106TH AV,Oakland,CA,37.74463675,-122.1495282
984449,2/5/2020 20:49,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,33X,1340 83RD AVE,Oakland,CA,37.75436859,-122.1791044
985183,2/9/2020 0:50,SeeClickFix,Homeless Encampment,HE_CLEAN,OPEN,CCD2,03X,6TH ST & FRANKLIN ST,Oakland,CA,37.79835504,-122.2733968
987936,2/18/2020 14:40,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD3,02X,333 FILBERT ST,Oakland,CA,37.80123297,-122.2856768
987821,2/18/2020 11:59,Phone,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,33X,92ND AVE & A ST,Oakland,CA,37.74769504,-122.1753468
984529,2/6/2020 9:10,Email,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,32Y,9920 MACARTHUR BLVD,Oakland,CA,37.74671002,-122.1566818
983926,2/4/2020 13:16,Phone,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD2,19X,2250 E 12TH ST,Oakland,CA,37.7832249,-122.2376096
991387,2/28/2020 16:19,Phone,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,31Z,10323 KNIGHT ST,Oakland,CA,37.7296535,-122.1814268
987915,2/18/2020 14:17,Email,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,32Y,102ND AVE & BIRCH ST,Oakland,CA,37.74293504,-122.1626468
987327,2/16/2020 10:40,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD2,03X,LAKESIDE PARK,Oakland,CA,37.79897309,-122.2608643
986867,2/13/2020 19:44,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD3,01X,JACKSON ST & 5TH ST,Oakland,CA,37.79578504,-122.2690768
989343,2/22/2020 16:44,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD3,14X,LAKESIDE PARK,Oakland,CA,37.809842,-122.2597137
983715,2/3/2020 17:44,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD2,03X,I-880 S & MADISON ST,Oakland,CA,37.7957067,-122.2677362
987064,2/14/2020 12:59,Phone,Homeless Encampment,HE_CLEAN,CANCEL,CCD3,06X,2325 MARTIN LUTHER KING JR WY,Oakland,CA,37.8137646,-122.2725167
991083,2/27/2020 21:00,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,26Y,8025 B ST,Oakland,CA,37.754766,-122.1835185
986162,2/11/2020 14:01,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,31Y,460 HEGENBERGER RD,Oakland,CA,37.737873,-122.196294
988655,2/20/2020 22:25,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD3,14X,455 LAGUNITAS AVE,Oakland,CA,37.81056537,-122.2497465
989808,2/24/2020 14:36,Phone,Homeless Encampment,HE_CLEAN,CANCEL,CCD3,08X,23RD ST & NORTHGATE AV,Oakland,CA,37.81300504,-122.271049
991123,2/28/2020 8:22,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD4,24Y,4251 QUIGLEY PL,Oakland,CA,37.78664507,-122.196864
989788,2/24/2020 14:04,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD6,27Y,6019 FORTUNE WAY,Oakland,CA,37.77056553,-122.1898925
985746,2/10/2020 13:59,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,31Y,9809 KITTY LN,Oakland,CA,37.727316,-122.1965145
983185,2/1/2020 19:42,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD4,24Y,HIGH ST & QUIGLEY CT,Oakland,CA,37.78642848,-122.1966206
990906,2/27/2020 12:02,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD5,26X,790 54TH AVE,Oakland,CA,37.76424053,-122.20969
988257,2/19/2020 13:13,Phone,Homeless Encampment,HE_CLEAN,CANCEL,CCD2,14X,MACARTHUR BLVD & GRAND AVE,Oakland,CA,37.81016504,-122.2487668
985869,2/10/2020 17:56,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,31Y,9025 EDES AVE,Oakland,CA,37.73876535,-122.1921304
991192,2/28/2020 9:44,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD6,30X,DEERWOOD AVE & 73RD AVE,Oakland,CA,37.76392504,-122.1797468
984439,2/5/2020 19:48,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,33X,1191 91ST AVE,Oakland,CA,37.74752481,-122.1776424
985428,2/9/2020 18:43,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD1,06X,35TH ST & WEST STREET,Oakland,CA,37.82544871,-122.27217
987124,2/14/2020 15:05,Phone,Homeless Encampment,HE_CLEAN,OPEN,CCD7,31Z,200 105TH AV,Oakland,CA,37.72555638,-122.1823978
987466,2/17/2020 9:03,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD4,25X,ALISO AVE,Oakland,CA,37.79506804,-122.1829983
990696,2/26/2020 22:07,SeeClickFix,Homeless Encampment,HE_CLEAN,OPEN,CCD6,26X,5733 SAN LEANDRO ST,Oakland,CA,37.761552,-122.207472
983328,2/2/2020 20:21,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD2,14X,GRAND AVE & MACARTHUR BLVD,Oakland,CA,37.81016504,-122.2487668
990665,2/26/2020 17:35,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD6,29X,6288 SUNNYMERE AVE,Oakland,CA,37.7798493,-122.1733411
983695,2/3/2020 16:20,Email,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD2,17Y,2116 5TH AV,Oakland,CA,37.80043983,-122.2471473
986392,2/12/2020 11:07,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD2,15X,600 HADDON RD,Oakland,CA,37.80625952,-122.2450319
986105,2/11/2020 12:44,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD3,01X,5TH ST & WEBSTER ST,Oakland,CA,37.79712504,-122.2726668
983653,2/3/2020 14:52,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,31Y,9025 EDES AVE,Oakland,CA,37.73880833,-122.1921
983343,2/3/2020 5:20,SeeClickFix,Homeless Encampment,HE_CLEAN,CLOSED,CCD3,03Y,LAFAYETTE SQUARE PARK,Oakland,CA,37.80345141,-122.2767645
985976,2/11/2020 9:17,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,32X,PONTIAC ST & 105TH AVE,Oakland,CA,37.73884504,-122.1675068
984762,2/6/2020 17:47,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD6,29X,3051 56TH AVE,Oakland,CA,37.77726556,-122.1878645
984551,2/6/2020 9:37,Phone,Homeless Encampment,HE_CLEAN,CANCEL,CCD3,02X,3RD ST & FILBERT ST,Oakland,CA,37.8003492,-122.2860221
989427,2/23/2020 10:32,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD2,19X,9TH AVE & E 10TH ST,Oakland,CA,37.79080504,-122.2532868
990083,2/25/2020 10:01,Phone,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD6,30Y,7965 HILLSIDE ST,Oakland,CA,37.76319522,-122.169038
990496,2/26/2020 11:06,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD1,06X,36TH ST & MARTIN LUTHER KING JR WAY,Oakland,CA,37.82507504,-122.2695768
990629,2/26/2020 15:22,Phone,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD5,19X,LIVINGSTON ST & EMBARCADERO,Oakland,CA,37.78065888,-122.2427295
990160,2/25/2020 11:54,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD5,20X,2845 CHAPMAN ST,Oakland,CA,37.77422623,-122.2342956
985356,2/9/2020 15:21,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD3,07X,UNION PLAZA,Oakland,CA,37.82625503,-122.2824534
987131,2/14/2020 15:19,Phone,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD3,05X,POPLAR ST & W GRAND AV,Oakland,CA,37.81627126,-122.2871029
989577,2/24/2020 8:30,Email,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD6,30X,7635 ARTHUR ST,Oakland,CA,37.76166091,-122.1785142
987582,2/17/2020 19:42,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD3,08X,MOSSWOOD PARK,Oakland,CA,37.82499746,-122.2611393
986608,2/13/2020 9:26,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD3,05X,MANDELA PKWY & 16TH ST,Oakland,CA,37.81224,-122.290821
986346,2/12/2020 7:39,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD7,31Z,9907 BERNHARDT DR,Oakland,CA,37.7310906,-122.1870017
984666,2/6/2020 13:27,Phone,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD3,05X,W GRAND AV & ADELINE ST,Oakland,CA,37.81555806,-122.2839539
983881,2/4/2020 12:07,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,26X,5590-5878 OAKPORT ST,Oakland,CA,37.75737301,-122.2116351
985972,2/11/2020 9:13,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,32X,1353 105TH AVE,Oakland,CA,37.73903136,-122.1673733
984202,2/5/2020 10:14,Phone,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,30X,7506 INTERNATIONAL BLVD,Oakland,CA,37.75846918,-122.1854223
991161,2/28/2020 8:55,Phone,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD3,04X,436 14TH ST,Oakland,CA,37.80423576,-122.2708222
988152,2/19/2020 8:28,SeeClickFix,Homeless Encampment,HE_CLEAN,OPEN,CCD2,14X,SPLASH PAD PARK/MacArthur Parking lot,Oakland,CA,37.80903037,-122.2483492
983432,2/3/2020 9:26,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD7,32X,10227 INTERNATIONAL BLVD,Oakland,CA,37.74070833,-122.1679611
985074,2/7/2020 20:54,SeeClickFix,Homeless Encampment,HE_CLEAN,OPEN,CCD3,05Y,17TH ST & WOOD ST,Oakland,CA,37.815345,-122.296176
985027,2/7/2020 16:28,SeeClickFix,Homeless Encampment,HE_CLEAN,CLOSED,CCD3,01X,WEBSTER ST & 5TH ST,Oakland,CA,37.79712504,-122.2726668
990164,2/25/2020 11:59,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD7,33X,8301 INTERNATIONAL BLVD OAKLAND 94621 UNITED STATES,Oakland,CA,37.7546273,-122.1784253
989753,2/24/2020 12:52,SeeClickFix,Homeless Encampment,HE_CLEAN,UNFUNDED,CCD7,31Y,519-549 85TH AVE,Oakland,CA,37.74167017,-122.1920253
985932,2/11/2020 8:12,Phone,Homeless Encampment,HE_CLEAN,OPEN,CCD2,19X,1995 EMBARCADERO,Oakland,CA,37.78002644,-122.242712
985035,2/7/2020 16:41,SeeClickFix,Homeless Encampment,HE_CLEAN,CANCEL,CCD3,01X,401 BROADWAY,Oakland,CA,37.79787561,-122.2753327
