County,State,Combined_Key,3/1/2020,4/1/2020,5/1/2020,6/1/2020
Daggett,Utah,"Daggett, Utah, US",0,0,0,0
Davis,Utah,"Davis, Utah, US",0,84,293,472
Duchesne,Utah,"Duchesne, Utah, US",0,0,0,0
Emery,Utah,"Emery, Utah, US",0,0,0,0
Garfield,Utah,"Garfield, Utah, US",0,1,0,0
Grand,Utah,"Grand, Utah, US",0,1,0,0
Iron,Utah,"Iron, Utah, US",0,6,0,0
Juab,Utah,"Juab, Utah, US",0,0,0,0
Kane,Utah,"Kane, Utah, US",0,0,0,0
Millard,Utah,"Millard, Utah, US",0,0,0,0
Morgan,Utah,"Morgan, Utah, US",0,0,0,0
Piute,Utah,"Piute, Utah, US",0,0,0,0
Rich,Utah,"Rich, Utah, US",0,0,0,0
Salt Lake,Utah,"Salt Lake, Utah, US",0,396,2526,5340
San Juan,Utah,"San Juan, Utah, US",0,4,47,299
Sanpete,Utah,"Sanpete, Utah, US",0,0,0,0
Sevier,Utah,"Sevier, Utah, US",0,0,0,0
Summit,Utah,"Summit, Utah, US",0,172,373,416
Tooele,Utah,"Tooele, Utah, US",0,12,68,129
Uintah,Utah,"Uintah, Utah, US",0,1,0,0
Utah,Utah,"Utah, Utah, US",0,70,993,1965
Wasatch,Utah,"Wasatch, Utah, US",0,50,155,292
Washington,Utah,"Washington,Utah,US",0,14,0,0
Wayne,Utah,"Wayne, Utah, US",0,0,0,0
Weber,Utah,"Weber,Utah,US",0,0,0,0
Addison,Vermont,"Addison, Vermont, US",0,24,61,64
Bennington,Vermont,"Bennington, Vermont, US",0,18,47,63
Caledonia,Vermont,"Caledonia, Vermont, US",0,3,14,15
Chittenden,Vermont,"Chittenden, Vermont, US",0,164,419,453
Essex,Vermont,"Essex, Vermont, US",0,0,2,3
Franklin,Vermont,"Franklin, Vermont, US",0,15,98,99
Grand Isle,Vermont,"Grand Isle, Vermont, US",0,0,3,7
Lamoille,Vermont,"Lamoille, Vermont, US",0,13,26,29
Orange,Vermont,"Orange, Vermont, US",0,4,7,9
Orleans,Vermont,"Orleans, Vermont, US",0,7,9,10
Rutland,Vermont,"Rutland, Vermont, US",0,10,46,55
Washington,Vermont,"Washington, Vermont, US",0,15,33,39
Windham,Vermont,"Windham, Vermont, US",0,16,71,81
Windsor,Vermont,"Windsor, Vermont, US",0,18,40,51
Accomack,Virginia,"Accomack, Virginia, US",0,7,303,917
Albemarle,Virginia,"Albemarle, Virginia, US",0,21,103,199
Alleghany,Virginia,"Alleghany, Virginia, US",0,1,6,23
Amelia,Virginia,"Amelia, Virginia, US",0,2,16,25
Amherst,Virginia,"Amherst, Virginia, US",0,5,13,27
Appomattox,Virginia,"Appomattox, Virginia, US",0,0,20,31
Arlington,Virginia,"Arlington, Virginia, US",0,119,1004,2123
Augusta,Virginia,"Augusta, Virginia, US",0,1,44,112
Bath,Virginia,"Bath, Virginia, US",0,0,0,0
Bedford,Virginia,"Bedford, Virginia, US",0,3,33,60
Bland,Virginia,"Bland, Virginia, US",0,0,0,0
Botetourt,Virginia,"Botetourt, Virginia, US",0,6,28,32
Brunswick,Virginia,"Brunswick, Virginia, US",0,1,14,27
Buchanan,Virginia,"Buchanan, Virginia, US",0,0,16,18
Buckingham,Virginia,"Buckingham, Virginia, US",0,2,94,461
Campbell,Virginia,"Campbell, Virginia, US",0,2,12,18
Caroline,Virginia,"Caroline, Virginia, US",0,0,32,69
Carroll,Virginia,"Carroll, Virginia, US",0,1,12,97
Charles City,Virginia,"Charles City, Virginia, US",0,2,13,27
Charlotte,Virginia,"Charlotte, Virginia, US",0,0,8,24
Chesterfield,Virginia,"Chesterfield, Virginia, US",0,59,557,1568
Clarke,Virginia,"Clarke, Virginia, US",0,0,9,28
Craig,Virginia,"Craig, Virginia, US",0,0,3,5
Culpeper,Virginia,"Culpeper, Virginia, US",0,5,162,713
Cumberland,Virginia,"Cumberland, Virginia, US",0,0,13,38
Dickenson,Virginia,"Dickenson, Virginia, US",0,0,0,0
Dinwiddie,Virginia,"Dinwiddie, Virginia, US",0,0,16,83
Essex,Virginia,"Essex, Virginia, US",0,0,8,48
Fairfax,Virginia,"Fairfax, Virginia, US",0,288,3897,11219
Fauquier,Virginia,"Fauquier, Virginia, US",0,7,128,323
Floyd,Virginia,"Floyd, Virginia, US",0,0,3,6
Fluvanna,Virginia,"Fluvanna, Virginia, US",0,3,74,92
Franklin,Virginia,"Franklin, Virginia, US",0,5,21,36
Frederick,Virginia,"Frederick, Virginia, US",0,15,115,359
Giles,Virginia,"Giles, Virginia, US",0,0,4,5
Gloucester,Virginia,"Gloucester, Virginia, US",0,8,24,31
Goochland,Virginia,"Goochland, Virginia, US",0,7,78,99
Grayson,Virginia,"Grayson, Virginia, US",0,0,2,38
Greene,Virginia,"Greene, Virginia, US",0,1,10,34
Greensville,Virginia,"Greensville, Virginia, US",0,3,39,74
Halifax,Virginia,"Halifax, Virginia, US",0,1,18,30
Hanover,Virginia,"Hanover, Virginia, US",0,6,132,327
Henrico,Virginia,"Henrico, Virginia, US",0,78,898,1858
Henry,Virginia,"Henry, Virginia, US",0,2,16,114
Highland,Virginia,"Highland, Virginia, US",0,0,2,3
Isle of Wight,Virginia,"Isle of Wight, Virginia, US",0,5,99,128
James City,Virginia,"James City, Virginia, US",0,95,160,206
King and Queen,Virginia,"King and Queen, Virginia, US",0,1,2,13
King George,Virginia,"King George, Virginia, US",0,4,34,69
King William,Virginia,"King William, Virginia, US",0,1,5,31
Lancaster,Virginia,"Lancaster, Virginia, US",0,1,3,10
Lee,Virginia,"Lee, Virginia, US",0,2,10,9
Loudoun,Virginia,"Loudoun, Virginia, US",0,105,832,2611
Louisa,Virginia,"Louisa, Virginia, US",0,12,45,79
Lunenburg,Virginia,"Lunenburg, Virginia, US",0,0,4,13
Madison,Virginia,"Madison, Virginia, US",0,3,14,41
Mathews,Virginia,"Mathews, Virginia, US",0,2,4,5
Mecklenburg,Virginia,"Mecklenburg, Virginia, US",0,4,103,218
Middlesex,Virginia,"Middlesex, Virginia, US",0,0,7,15
Montgomery,Virginia,"Montgomery, Virginia, US",0,1,56,78
Nelson,Virginia,"Nelson, Virginia, US",0,2,8,17
New Kent,Virginia,"New Kent, Virginia, US",0,1,23,36
Northampton,Virginia,"Northampton, Virginia, US",0,1,82,241
Northumberland,Virginia,"Northumberland, Virginia, US",0,3,9,25
Nottoway,Virginia,"Nottoway, Virginia, US",0,1,13,33
Orange,Virginia,"Orange, Virginia, US",0,4,36,106
Page,Virginia,"Page, Virginia, US",0,1,104,225
Patrick,Virginia,"Patrick, Virginia, US",0,0,2,19
Pittsylvania,Virginia,"Pittsylvania, Virginia, US",0,1,13,44
Powhatan,Virginia,"Powhatan, Virginia, US",0,3,14,35
Prince Edward,Virginia,"Prince Edward, Virginia, US",0,2,51,137
Prince George,Virginia,"Prince George, Virginia, US",0,8,34,129
Prince William,Virginia,"Prince William, Virginia, US",0,106,1781,5663
Pulaski,Virginia,"Pulaski, Virginia, US",0,0,9,19
Rappahannock,Virginia,"Rappahannock, Virginia, US",0,0,5,13
Richmond,Virginia,"Richmond, Virginia, US",0,0,142,287
Roanoke,Virginia,"Roanoke, Virginia, US",0,4,53,106
Rockbridge,Virginia,"Rockbridge, Virginia, US",0,2,7,18
Rockingham,Virginia,"Rockingham, Virginia, US",0,9,249,541
Russell,Virginia,"Russell, Virginia, US",0,0,4,8
Scott,Virginia,"Scott, Virginia, US",0,0,7,7
Shenandoah,Virginia,"Shenandoah, Virginia, US",0,8,120,458
Smyth,Virginia,"Smyth, Virginia, US",0,2,13,15
Southampton,Virginia,"Southampton, Virginia, US",0,1,125,147
Spotsylvania,Virginia,"Spotsylvania, Virginia, US",0,8,155,571
Stafford,Virginia,"Stafford, Virginia, US",0,28,251,722
Surry,Virginia,"Surry, Virginia, US",0,1,4,10
Sussex,Virginia,"Sussex, Virginia, US",0,1,31,161
Tazewell,Virginia,"Tazewell, Virginia, US",0,2,6,9
Warren,Virginia,"Warren, Virginia, US",0,3,57,157
Washington,Virginia,"Washington, Virginia, US",0,2,38,51
Westmoreland,Virginia,"Westmoreland, Virginia, US",0,0,23,68
Wise,Virginia,"Wise, Virginia, US",0,0,22,25
Wythe,Virginia,"Wythe, Virginia, US",0,2,11,23
York,Virginia,"York, Virginia, US",0,16,46,77
Alexandria,Virginia,"Alexandria, Virginia, US",0,32,802,1981
Bristol,Virginia,"Bristol, Virginia, US",0,1,1,4
Buena Vista,Virginia,"Buena Vista, Virginia, US",0,0,6,13
Charlottesville,Virginia,"Charlottesville, Virginia, US",0,16,58,125
Chesapeake,Virginia,"Chesapeake, Virginia, US",0,31,256,535
Colonial Heights,Virginia,"Colonial Heights, Virginia, US",0,0,54,96
Covington,Virginia,"Covington, Virginia, US",0,1,1,4
Danville,Virginia,"Danville, Virginia, US",0,4,35,56
Emporia,Virginia,"Emporia, Virginia, US",0,0,23,82
Fairfax City,Virginia,"Fairfax City, Virginia, US",0,0,29,67
Falls Church,Virginia,"Falls Church, Virginia, US",0,0,26,55
Franklin City,Virginia,"Franklin City, Virginia, US",0,1,23,42
Fredericksburg,Virginia,"Fredericksburg, Virginia, US",0,1,34,166
Galax,Virginia,"Galax, Virginia, US",0,1,9,124
Hampton,Virginia,"Hampton, Virginia, US",0,14,119,210
Harrisonburg,Virginia,"Harrisonburg, Virginia, US",0,10,456,797
Hopewell,Virginia,"Hopewell, Virginia, US",0,4,25,92
Lexington,Virginia,"Lexington, Virginia, US",0,0,4,7
Lynchburg,Virginia,"Lynchburg, Virginia, US",0,7,58,80
Manassas,Virginia,"Manassas,Virginia,US",0,9,222,1105
Manassas Park,Virginia,"Manassas Park, Virginia, US",0,1,68,317
Martinsville,Virginia,"Martinsville, Virginia, US",0,0,2,32
Newport News,Virginia,"Newport News, Virginia, US",0,29,120,282
Norfolk,Virginia,"Norfolk, Virginia, US",0,33,204,521
Norton,Virginia,"Norton, Virginia, US",0,0,2,2
Petersburg,Virginia,"Petersburg, Virginia, US",0,4,33,138
Poquoson,Virginia,"Poquoson, Virginia, US",0,3,6,8
Portsmouth,Virginia,"Portsmouth, Virginia, US",0,13,170,313
Radford,Virginia,"Radford, Virginia, US",0,1,3,6
Richmond City,Virginia,"Richmond City, Virginia, US",0,33,364,1397
Roanoke City,Virginia,"Roanoke City, Virginia, US",0,6,80,167
Salem,Virginia,"Salem, Virginia, US",0,0,26,34
Staunton,Virginia,"Staunton, Virginia, US",0,0,12,47
Suffolk,Virginia,"Suffolk, Virginia, US",0,5,175,316
Virginia Beach,Virginia,"Virginia Beach, Virginia, US",0,88,396,745
Waynesboro,Virginia,"Waynesboro, Virginia, US",0,2,13,47
Williamsburg,Virginia,"Williamsburg, Virginia, US",0,9,20,44
Winchester,Virginia,"Winchester, Virginia, US",0,5,41,191
Adams,Washington,"Adams, Washington, US",0,14,47,63
Asotin,Washington,"Asotin, Washington, US",0,0,18,19
Benton,Washington,"Benton, Washington, US",0,108,461,810
Chelan,Washington,"Chelan, Washington, US",0,17,113,250
Clallam,Washington,"Clallam, Washington, US",0,8,18,25
Clark,Washington,"Clark, Washington, US",0,130,327,516
Columbia,Washington,"Columbia, Washington, US",0,1,1,1
Cowlitz,Washington,"Cowlitz, Washington, US",0,14,47,73
Douglas,Washington,"Douglas, Washington, US",0,5,79,172
Ferry,Washington,"Ferry, Washington, US",0,1,1,1
Franklin,Washington,"Franklin, Washington, US",0,33,309,598
Garfield,Washington,"Garfield, Washington, US",0,0,0,0
Grant,Washington,"Grant, Washington, US",0,63,163,208
Grays Harbor,Washington,"Grays Harbor, Washington, US",0,2,12,17
Island,Washington,"Island, Washington, US",0,109,169,178
Jefferson,Washington,"Jefferson, Washington, US",0,17,28,31
King,Washington,"King, Washington, US",9,2330,6274,8123
Kitsap,Washington,"Kitsap, Washington, US",0,74,150,162
Kittitas,Washington,"Kittitas, Washington, US",0,9,15,88
Klickitat,Washington,"Klickitat, Washington, US",0,9,17,25
Lewis,Washington,"Lewis, Washington, US",0,10,29,37
Lincoln,Washington,"Lincoln, Washington, US",0,1,2,2
Mason,Washington,"Mason, Washington, US",0,6,25,36
Okanogan,Washington,"Okanogan, Washington, US",0,3,21,49
Pacific,Washington,"Pacific, Washington, US",0,0,4,9
Pend Oreille,Washington,"Pend Oreille, Washington, US",0,0,2,3
Pierce,Washington,"Pierce, Washington, US",0,377,1339,1940
San Juan,Washington,"San Juan, Washington, US",0,4,14,15
Skagit,Washington,"Skagit, Washington, US",0,128,337,435
Skamania,Washington,"Skamania, Washington, US",0,1,3,3
Snohomish,Washington,"Snohomish, Washington, US",2,1304,2453,2976
Spokane,Washington,"Spokane, Washington, US",0,158,367,600
Stevens,Washington,"Stevens, Washington, US",0,4,9,11
Thurston,Washington,"Thurston, Washington, US",0,48,106,151
Wahkiakum,Washington,"Wahkiakum, Washington, US",0,0,2,4
Walla Walla,Washington,"Walla Walla, Washington, US",0,7,76,108
Whatcom,Washington,"Whatcom, Washington, US",0,139,305,398
Whitman,Washington,"Whitman, Washington, US",0,10,14,16
Yakima,Washington,"Yakima, Washington, US",0,161,1203,3749
Barbour,West Virginia,"Barbour, West Virginia, US",0,1,5,9
Berkeley,West Virginia,"Berkeley, West Virginia, US",0,21,153,314
Boone,West Virginia,"Boone, West Virginia, US",0,0,6,9
Braxton,West Virginia,"Braxton, West Virginia, US",0,0,2,2
Brooke,West Virginia,"Brooke, West Virginia, US",0,0,3,5
Cabell,West Virginia,"Cabell, West Virginia, US",0,1,43,66
Calhoun,West Virginia,"Calhoun, West Virginia, US",0,0,0,2
Clay,West Virginia,"Clay, West Virginia, US",0,0,0,5
Doddridge,West Virginia,"Doddridge, West Virginia, US",0,0,0,0
Fayette,West Virginia,"Fayette, West Virginia, US",0,0,14,50
Gilmer,West Virginia,"Gilmer, West Virginia, US",0,0,2,10
Grant,West Virginia,"Grant, West Virginia, US",0,0,1,12
Greenbrier,West Virginia,"Greenbrier, West Virginia, US",0,3,3,9
Hampshire,West Virginia,"Hampshire, West Virginia, US",0,0,7,31
Hancock,West Virginia,"Hancock, West Virginia, US",0,6,10,19
Hardy,West Virginia,"Hardy, West Virginia, US",0,1,6,39
Harrison,West Virginia,"Harrison, West Virginia, US",0,14,30,40
Jackson,West Virginia,"Jackson, West Virginia, US",0,11,130,137
Jefferson,West Virginia,"Jefferson, West Virginia, US",0,9,79,184
Kanawha,West Virginia,"Kanawha, West Virginia, US",0,37,161,229
Lewis,West Virginia,"Lewis, West Virginia, US",0,0,4,9
Lincoln,West Virginia,"Lincoln, West Virginia, US",0,0,2,6
Logan,West Virginia,"Logan, West Virginia, US",0,3,13,17
McDowell,West Virginia,"McDowell, West Virginia, US",0,0,6,6
Marion,West Virginia,"Marion, West Virginia, US",0,8,46,51
Marshall,West Virginia,"Marshall, West Virginia, US",0,4,13,30
Mason,West Virginia,"Mason, West Virginia, US",0,3,12,15
Mercer,West Virginia,"Mercer, West Virginia, US",0,2,10,13
Mineral,West Virginia,"Mineral, West Virginia, US",0,0,18,47
Mingo,West Virginia,"Mingo, West Virginia, US",0,0,2,7
Monongalia,West Virginia,"Monongalia, West Virginia, US",0,32,102,133
Monroe,West Virginia,"Monroe, West Virginia, US",0,0,5,7
Morgan,West Virginia,"Morgan, West Virginia, US",0,1,12,18
Nicholas,West Virginia,"Nicholas, West Virginia, US",0,0,6,8
Ohio,West Virginia,"Ohio, West Virginia, US",0,11,29,42
Pendleton,West Virginia,"Pendleton, West Virginia, US",0,0,3,13
Pleasants,West Virginia,"Pleasants, West Virginia, US",0,1,2,4
Pocahontas,West Virginia,"Pocahontas, West Virginia, US",0,0,2,21
Preston,West Virginia,"Preston, West Virginia, US",0,3,13,25
Putnam,West Virginia,"Putnam, West Virginia, US",0,5,27,34
Raleigh,West Virginia,"Raleigh, West Virginia, US",0,3,9,16
Randolph,West Virginia,"Randolph, West Virginia, US",0,1,4,131
Ritchie,West Virginia,"Ritchie, West Virginia, US",0,0,0,1
Roane,West Virginia,"Roane, West Virginia, US",0,2,6,9
Summers,West Virginia,"Summers, West Virginia, US",0,0,1,1
Taylor,West Virginia,"Taylor, West Virginia, US",0,0,6,9
Tucker,West Virginia,"Tucker, West Virginia, US",0,2,4,4
Tyler,West Virginia,"Tyler, West Virginia, US",0,0,3,3
Upshur,West Virginia,"Upshur, West Virginia, US",0,1,4,7
Wayne,West Virginia,"Wayne, West Virginia, US",0,0,86,100
Webster,West Virginia,"Webster, West Virginia, US",0,0,0,0
Wetzel,West Virginia,"Wetzel, West Virginia, US",0,2,3,9
Wirt,West Virginia,"Wirt, West Virginia, US",0,1,3,4
Wood,West Virginia,"Wood, West Virginia, US",0,2,40,53
Wyoming,West Virginia,"Wyoming, West Virginia, US",0,0,1,3
Adams,Wisconsin,"Adams, Wisconsin, US",0,0,4,4
Ashland,Wisconsin,"Ashland, Wisconsin, US",0,1,2,2
Barron,Wisconsin,"Barron, Wisconsin, US",0,0,6,20
Bayfield,Wisconsin,"Bayfield, Wisconsin, US",0,3,3,3
Brown,Wisconsin,"Brown, Wisconsin, US",0,11,1175,2320
Buffalo,Wisconsin,"Buffalo, Wisconsin, US",0,1,4,6
Burnett,Wisconsin,"Burnett, Wisconsin, US",0,0,0,1
Calumet,Wisconsin,"Calumet, Wisconsin, US",0,2,14,77
Chippewa,Wisconsin,"Chippewa, Wisconsin, US",0,10,23,56
Clark,Wisconsin,"Clark, Wisconsin, US",0,5,20,33
Columbia,Wisconsin,"Columbia, Wisconsin, US",0,14,28,44
Crawford,Wisconsin,"Crawford, Wisconsin, US",0,1,3,26
Dane,Wisconsin,"Dane, Wisconsin, US",0,215,430,735
Dodge,Wisconsin,"Dodge, Wisconsin, US",0,13,36,228
Door,Wisconsin,"Door, Wisconsin, US",0,1,12,38
Douglas,Wisconsin,"Douglas, Wisconsin, US",0,7,9,19
Dunn,Wisconsin,"Dunn, Wisconsin, US",0,3,9,24
Eau Claire,Wisconsin,"Eau Claire, Wisconsin, US",0,12,28,113
Florence,Wisconsin,"Florence, Wisconsin, US",0,0,2,2
Fond du Lac,Wisconsin,"Fond du Lac, Wisconsin, US",0,24,71,214
Forest,Wisconsin,"Forest, Wisconsin, US",0,0,0,29
Grant,Wisconsin,"Grant, Wisconsin, US",0,2,41,96
Green,Wisconsin,"Green, Wisconsin, US",0,7,13,66
Green Lake,Wisconsin,"Green Lake, Wisconsin, US",0,0,3,20
Iowa,Wisconsin,"Iowa, Wisconsin, US",0,3,7,16
Iron,Wisconsin,"Iron, Wisconsin, US",0,1,2,2
Jackson,Wisconsin,"Jackson, Wisconsin, US",0,2,13,17
Jefferson,Wisconsin,"Jefferson, Wisconsin, US",0,12,46,107
Juneau,Wisconsin,"Juneau, Wisconsin, US",0,4,17,23
Kenosha,Wisconsin,"Kenosha, Wisconsin, US",0,54,477,1178
Kewaunee,Wisconsin,"Kewaunee, Wisconsin, US",0,0,13,35
La Crosse,Wisconsin,"La Crosse, Wisconsin, US",0,19,28,53
Lafayette,Wisconsin,"Lafayette, Wisconsin, US",0,0,6,27
Langlade,Wisconsin,"Langlade, Wisconsin, US",0,0,0,3
Lincoln,Wisconsin,"Lincoln, Wisconsin, US",0,0,1,7
Manitowoc,Wisconsin,"Manitowoc, Wisconsin, US",0,0,11,36
Marathon,Wisconsin,"Marathon, Wisconsin, US",0,5,18,50
Marinette,Wisconsin,"Marinette, Wisconsin, US",0,2,10,33
Marquette,Wisconsin,"Marquette, Wisconsin, US",0,2,3,4
Menominee,Wisconsin,"Menominee, Wisconsin, US",0,0,1,3
Milwaukee,Wisconsin,"Milwaukee, Wisconsin, US",0,780,3044,7799
Monroe,Wisconsin,"Monroe, Wisconsin, US",0,2,14,17
Oconto,Wisconsin,"Oconto, Wisconsin, US",0,1,14,37
Oneida,Wisconsin,"Oneida, Wisconsin, US",0,3,6,9
Outagamie,Wisconsin,"Outagamie, Wisconsin, US",0,12,62,230
Ozaukee,Wisconsin,"Ozaukee, Wisconsin, US",0,46,88,165
Pepin,Wisconsin,"Pepin, Wisconsin, US",0,0,0,1
Pierce,Wisconsin,"Pierce, Wisconsin, US",0,7,10,45
Polk,Wisconsin,"Polk, Wisconsin, US",0,0,4,19
Portage,Wisconsin,"Portage, Wisconsin, US",0,1,5,12
Price,Wisconsin,"Price, Wisconsin, US",0,0,1,2
Racine,Wisconsin,"Racine, Wisconsin, US",0,28,393,1733
Richland,Wisconsin,"Richland, Wisconsin, US",0,2,12,14
Rock,Wisconsin,"Rock, Wisconsin, US",0,17,222,639
Rusk,Wisconsin,"Rusk, Wisconsin, US",0,0,4,5
St. Croix,Wisconsin,"St. Croix, Wisconsin, US",0,6,16,92
Sauk,Wisconsin,"Sauk, Wisconsin, US",0,14,58,78
Sawyer,Wisconsin,"Sawyer, Wisconsin, US",0,0,3,8
Shawano,Wisconsin,"Shawano, Wisconsin, US",0,0,15,48
Sheboygan,Wisconsin,"Sheboygan, Wisconsin, US",0,12,49,90
Taylor,Wisconsin,"Taylor, Wisconsin, US",0,0,0,2
Trempealeau,Wisconsin,"Trempealeau, Wisconsin, US",0,0,3,25
Vernon,Wisconsin,"Vernon, Wisconsin, US",0,0,1,21
Vilas,Wisconsin,"Vilas, Wisconsin, US",0,3,4,8
Walworth,Wisconsin,"Walworth, Wisconsin, US",0,12,171,397
Washburn,Wisconsin,"Washburn, Wisconsin, US",0,0,1,2
Washington,Wisconsin,"Washington, Wisconsin, US",0,44,99,257
Waukesha,Wisconsin,"Waukesha, Wisconsin, US",0,107,350,709
Waupaca,Wisconsin,"Waupaca, Wisconsin, US",0,2,10,42
Waushara,Wisconsin,"Waushara, Wisconsin, US",0,0,2,8
Winnebago,Wisconsin,"Winnebago, Wisconsin, US",0,19,62,249
Wood,Wisconsin,"Wood, Wisconsin, US",0,2,2,10
Albany,Wyoming,"Albany, Wyoming, US",0,3,8,25
Big Horn,Wyoming,"Big Horn, Wyoming, US",0,0,3,6
Campbell,Wyoming,"Campbell, Wyoming, US",0,4,24,31
Carbon,Wyoming,"Carbon, Wyoming, US",0,3,5,16
Converse,Wyoming,"Converse, Wyoming, US",0,2,22,24
Crook,Wyoming,"Crook, Wyoming, US",0,0,5,5
Fremont,Wyoming,"Fremont, Wyoming, US",0,25,120,282
Goshen,Wyoming,"Goshen, Wyoming, US",0,1,4,5
Hot Springs,Wyoming,"Hot Springs, Wyoming, US",0,0,3,12
Johnson,Wyoming,"Johnson, Wyoming, US",0,7,15,18
Laramie,Wyoming,"Laramie, Wyoming, US",0,29,147,188
Lincoln,Wyoming,"Lincoln, Wyoming, US",0,0,9,15
Natrona,Wyoming,"Natrona, Wyoming, US",0,15,49,79
Niobrara,Wyoming,"Niobrara, Wyoming, US",0,0,2,2
Park,Wyoming,"Park, Wyoming, US",0,1,1,2
Platte,Wyoming,"Platte, Wyoming, US",0,0,0,1
Sheridan,Wyoming,"Sheridan, Wyoming, US",0,10,16,16
Sublette,Wyoming,"Sublette, Wyoming, US",0,1,3,3
Sweetwater,Wyoming,"Sweetwater, Wyoming, US",0,2,18,30
Teton,Wyoming,"Teton, Wyoming, US",0,26,96,100
Uinta,Wyoming,"Uinta, Wyoming, US",0,0,8,12
Washakie,Wyoming,"Washakie, Wyoming, US",0,1,8,37
Weston,Wyoming,"Weston, Wyoming, US",0,0,0,1
Out of AL,Alabama,"Out of AL, Alabama, US",0,0,0,0
Out of AK,Alaska,"Out of AK, Alaska, US",0,0,0,0
Out of AZ,Arizona,"Out of AZ, Arizona, US",0,0,0,0
Out of AR,Arkansas,"Out of AR, Arkansas, US",0,0,0,0
Out of CA,California,"Out of CA, California, US",0,0,0,0
Out of CO,Colorado,"Out of CO, Colorado, US",0,0,0,0
Out of CT,Connecticut,"Out of CT, Connecticut, US",0,0,0,0
Out of DE,Delaware,"Out of DE, Delaware, US",0,0,0,0
Out of DC,District of Columbia,"Out of DC, District of Columbia, US",0,0,0,0
Out of FL,Florida,"Out of FL, Florida, US",0,0,0,0
Out of GA,Georgia,"Out of GA, Georgia, US",0,0,1068,2142
Out of HI,Hawaii,"Out of HI, Hawaii, US",0,0,9,10
Out of ID,Idaho,"Out of ID, Idaho, US",0,0,0,0
Out of IL,Illinois,"Out of IL, Illinois, US",0,0,0,118
Out of IN,Indiana,"Out of IN, Indiana, US",0,0,0,0
Out of IA,Iowa,"Out of IA, Iowa, US",0,0,0,0
Out of KS,Kansas,"Out of KS, Kansas, US",0,0,0,0
Out of KY,Kentucky,"Out of KY, Kentucky, US",0,0,0,0
Out of LA,Louisiana,"Out of LA, Louisiana, US",0,0,0,0
Out of ME,Maine,"Out of ME, Maine, US",0,0,0,0
Out of MD,Maryland,"Out of MD, Maryland, US",0,0,0,0
Out of MA,Massachusetts,"Out of MA, Massachusetts, US",0,0,0,0
Out of MI,Michigan,"Out of MI, Michigan, US",0,42,8,42
Out of MN,Minnesota,"Out of MN, Minnesota, US",0,0,0,0
Out of MS,Mississippi,"Out of MS, Mississippi, US",0,0,0,0
Out of MO,Missouri,"Out of MO, Missouri, US",0,0,0,0
Out of MT,Montana,"Out of MT, Montana, US",0,0,0,0
Out of NE,Nebraska,"Out of NE, Nebraska, US",0,0,0,0
Out of NV,Nevada,"Out of NV, Nevada, US",0,0,0,0
Out of NH,New Hampshire,"Out of NH, New Hampshire, US",0,0,0,0
Out of NJ,New Jersey,"Out of NJ, New Jersey, US",0,0,0,0
Out of NM,New Mexico,"Out of NM, New Mexico, US",0,0,0,0
Out of NY,New York,"Out of NY, New York, US",0,0,0,0
Out of NC,North Carolina,"Out of NC, North Carolina, US",0,0,0,0
Out of ND,North Dakota,"Out of ND, North Dakota, US",0,0,0,0
Out of OH,Ohio,"Out of OH, Ohio, US",0,0,0,0
Out of OK,Oklahoma,"Out of OK, Oklahoma, US",0,2,0,0
Out of OR,Oregon,"Out of OR, Oregon, US",0,0,0,0
Out of PA,Pennsylvania,"Out of PA, Pennsylvania, US",0,0,0,0
Out of RI,Rhode Island,"Out of RI, Rhode Island, US",0,0,0,0
Out of SC,South Carolina,"Out of SC, South Carolina, US",0,0,0,0
Out of SD,South Dakota,"Out of SD, South Dakota, US",0,0,0,0
Out of TN,Tennessee,"Out of TN, Tennessee, US",0,243,258,418
Out of TX,Texas,"Out of TX, Texas, US",0,0,0,0
Out of UT,Utah,"Out of UT, Utah, US",0,22,0,0
Out of VT,Vermont,"Out of VT, Vermont, US",0,0,0,0
Out of VA,Virginia,"Out of VA, Virginia, US",0,0,0,0
Out of WA,Washington,"Out of WA, Washington, US",0,0,0,0
Out of WV,West Virginia,"Out of WV, West Virginia, US",0,0,0,0
Out of WI,Wisconsin,"Out of WI, Wisconsin, US",0,0,0,0
Out of WY,Wyoming,"Out of WY, Wyoming, US",0,0,0,0
Unassigned,Alabama,"Unassigned, Alabama, US",0,0,0,384
Unassigned,Alaska,"Unassigned, Alaska, US",0,0,0,0
Unassigned,Arizona,"Unassigned, Arizona, US",0,0,0,0
Unassigned,Arkansas,"Unassigned, Arkansas, US",0,44,173,189
Unassigned,California,"Unassigned, California, US",0,0,0,0
Unassigned,Colorado,"Unassigned, Colorado, US",0,128,201,0
Unassigned,Connecticut,"Unassigned, Connecticut, US",0,185,371,237
Unassigned,Delaware,"Unassigned, Delaware, US",0,0,24,55
Unassigned,District of Columbia,"Unassigned, District of Columbia, US",0,0,0,0
Unassigned,Florida,"Unassigned, Florida, US",0,3,8,84
Unassigned,Georgia,"Unassigned, Georgia, US",0,516,647,1511
Unassigned,Hawaii,"Unassigned, Hawaii, US",0,15,0,0
Unassigned,Idaho,"Unassigned, Idaho, US",0,0,0,0
Unassigned,Illinois,"Unassigned, Illinois, US",0,28,363,93
Unassigned,Indiana,"Unassigned, Indiana, US",0,0,0,0
