bbl,project_name,buildings,res_units,owner_name,year_built,standard_address,agency_name,program_name,start_date,end_date,Neighborhood,assessed_value,Neighborhood population,Neighborhood income,Neighborhood racial diversity,Serious Hazard Violation 2017,Tax delinquency 2016
1020110023,123-125 West 142nd St,1,18,MOSLEY JAMES,1920,125 West 142 Street,NYC Department of Housing Preservation and Development,Article 8A/HRP,2011,,Central Harlem,"$210,600","143,487","$46,537",37.44%,,
1020110025,123-125 West 142nd St,1,18,MOSLEY JAMES,1920,123 West 142 Street,NYC Department of Housing Preservation and Development,Article 8A/HRP,2011,,Central Harlem,"$301,500","143,487","$46,537",37.44%,,
1017510057,127th Street Cluster,1,5,FINITE HOMES HOUSING,1909,1988 Madison Avenue,NYC Department of Housing Preservation and Development,LIHTC Year 15,2013,,Central Harlem,"$253,305","143,487","$46,537",37.44%,,
1020060049,"128 West 138 Street, NY",1,60,128 W 138TH ST HOUSIN,1930,128 West 138 Street,NYC Department of Housing Preservation and Development,Article 8A/HRP,2010,,Central Harlem,"$1,060,200","143,487","$46,537",37.44%,,
1019220041,131 SAINT NICHOLAS AVENUE,1,100,NYC HOUSING AUTHORITY,1964,131 St Nicholas Avenue,New York City Housing Authority,Federal Public Housing,1965,,Central Harlem,"$3,225,600","143,487","$46,537",37.44%,,
1012200013,133 WEST 89TH STREET,1,15,133 WEST 89TH STREET,1910,133 West 89 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2004,,Upper West Side,"$896,850","189,492","$113,448",49.24%,,
1014660003,1330 FIRST AVENUE,1,343,"RCP - EAST, LLC",2007,1330 1 Avenue,NYC Department of Housing Preservation and Development,Inclusionary Housing,2008,,Upper East Side,"$40,902,300","219,004","$119,261",30.87%,,
1012200012,135 WEST 89 STREET,1,15,135 WEST 89TH STREET,1910,135 West 89 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2005,,Upper West Side,"$925,200","189,492","$113,448",49.24%,,
1018250010,135-137 W 115 S,1,21,135-137 W 115 ST HDFC,1920,135 West 115 Street,NYC Department of Housing Preservation and Development,Article 8A/HRP,2004,,Central Harlem,"$553,050","143,487","$46,537",37.44%,,
1016250050,138 EAST 98TH STREET,1,13,138 E 98 ST HDFC,1910,138 East 98 Street,NYC Department of Housing Preservation and Development,Article 8A/HRP,2005,,East Harlem,"$396,450","134,279","$35,097",59.31%,,1
1003790034,139-141 AVENUE D HDFC.YR15.FY2017,2,15,139-141 AVENUE D L.P.,1920,141 Avenue D,NYC Department of Housing Preservation and Development,LIHTC Year 15,2017,,Lower East Side/Chinatown,"$979,650","159,296","$42,014",72.15%,,
1020437502,140 EDGECOMBE AVENUE,1,5,,1920,140 Edgecombe Avenue,NYC Department of Housing Preservation and Development,Other HPD Programs,2005,,Central Harlem,"$133,742","143,487","$46,537",37.44%,,
1016217501,1405 FIFTH AVENUE PROJECT,1,80,,2009,1405 5 Avenue,NYC Department of Housing Preservation and Development,Multi-Family Program,2009,,East Harlem,"$4,727,250","134,279","$35,097",59.31%,,
1019137501,143 WEST 128 STREET,1,6,,1910,143 West 128 Street,NYC Department of Housing Preservation and Development,Other HPD Programs,2004,,Central Harlem,"$49,313","143,487","$46,537",37.44%,,
1019080052,144 WEST 124TH STREET,1,9,HOUSING 2000 HOUSINGD,1910,144 West 124 Street,NYC Department of Housing Preservation and Development,Article 8A/HRP,2005,,Central Harlem,"$138,805","143,487","$46,537",37.44%,1,
1019080053,146 WEST 124TH STREET,1,11,HOUSING 2000 HDFC,1910,146 West 124 Street,NYC Department of Housing Preservation and Development,Article 8A/HRP,2005,,Central Harlem,"$421,650","143,487","$46,537",37.44%,1,
1021360050,15 FT. WASHINGTON AVE. HDFC,1,36,15 FORT WASHINGTON AV,1912,15 Ft Washington Avenue,NYC Department of Housing Preservation and Development,Article 8A/HRP,2006,,Washington Heights/Inwood,"$925,200","238,759","$53,049",42.53%,,1
1016250052,1513 LEXINGTON AVENUE,1,8,1513 LEXINGTON AVE HS,1910,1513 Lexington Avenue,NYC Department of Housing Preservation and Development,Multi-Family Program,2006,,East Harlem,"$430,887","134,279","$35,097",59.31%,,
1016430051,152 EAST 116TH STREET,1,8,HOUSING PRESERVATION,1910,152 East 116 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2017,,East Harlem,"$212,559","134,279","$35,097",59.31%,,
1020120054,152 WEST 144 STREET,1,24,152 W 144TH ST HSG DE,1920,152 West 144 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2007,,Central Harlem,"$621,900","143,487","$46,537",37.44%,,
1003490014,153 1/2 STANTON,1,10,153 1/2 STANTON ST HD,1920,153 Stanton Street,NYC Department of Housing Preservation and Development,Article 8A/HRP,2004,,Lower East Side/Chinatown,"$295,650","159,296","$42,014",72.15%,,
1018430014,153 Manhattan Ave HDFC Extended Affordability,1,22,153 MANH. AV HO/DV/FD,1941,153 Manhattan Avenue,NYC Department of Housing Preservation and Development,Multi-Family Program,2014,,Morningside Heights/Hamilton Heights,"$288,450","125,195","$49,994",68.95%,1,
1018430015,153 Manhattan Ave HDFC Extended Affordability,1,24,153 MANHATTAN AVENUE,1941,157 Manhattan Avenue,NYC Department of Housing Preservation and Development,Multi-Family Program,2014,,Morningside Heights/Hamilton Heights,"$438,750","125,195","$49,994",68.95%,,
1018430016,153 Manhattan Ave HDFC Extended Affordability,1,24,153 MANHATTAN AVE ETC,1929,161 Manhattan Avenue,NYC Department of Housing Preservation and Development,Multi-Family Program,2014,,Morningside Heights/Hamilton Heights,"$344,250","125,195","$49,994",68.95%,1,
1016240044,154 EAST 97STREET,1,17,154 EAST 97 STREET HD,1930,154 East 97 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2006,,East Harlem,"$482,850","134,279","$35,097",59.31%,,
1012140055,154 WEST 84TH STREET,1,35,NYC HOUSING AUTHORITY,1994,154 West 84 Street,New York City Housing Authority,Federal Public Housing,1996,,Upper West Side,"$2,679,750","189,492","$113,448",49.24%,,
1003920033,155 AVENUE C,1,17,155 AVENUE C HOUSING,1900,155 Avenue C,NYC Department of Housing Preservation and Development,Participation Loan Program,2008,,Lower East Side/Chinatown,"$805,050","159,296","$42,014",72.15%,,
1016240043,156 EAST 97 STREET,1,18,156 EAST 97TH STREET,1930,156 East 97 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2006,,East Harlem,"$483,300","134,279","$35,097",59.31%,,
1019030031,163 LENOX AVENUE,1,8,163 LENOX AVENUE HDFC,1920,163 Lenox Avenue,NYC Department of Housing Preservation and Development,Multi-Family Program,2007,,Central Harlem,"$729,058","143,487","$46,537",37.44%,,
1020720036,1638 Amsterdam Ave(William Anderson HDFC)/West Harlem Group,1,8,WILLIAM R ANDERSON HD,1920,1638 Amsterdam Avenue,NYC Department of Housing Preservation and Development,Article 8A/HRP,2009,,Morningside Heights/Hamilton Heights,"$72,400","125,195","$49,994",68.95%,,
1020730025,1638 Amsterdam Ave(William Anderson HDFC)/West Harlem Group,1,23,WILLIAM R ANDERSON HD,1920,93 Hamilton Place,NYC Department of Housing Preservation and Development,Article 8A/HRP,2009,,Morningside Heights/Hamilton Heights,"$703,350","125,195","$49,994",68.95%,1,
1016270043,166 East 100th Street,1,12,EAST 100 HOUSING DEVE,2008,166 East 100 Street,NYC Department of Housing Preservation and Development,Inclusionary Housing,2018,,East Harlem,"$134,100","134,279","$35,097",59.31%,,
1019140001,167 WEST 129 STREET,1,18,167 WEST 129TH ST HDF,1910,2181 Adam C Powell Blvd,NYC Department of Housing Preservation and Development,Multi-Family Program,2008,,Central Harlem,"$497,700","143,487","$46,537",37.44%,,
1016240033,175 E 96 ST PROJECT,1,522,MONTEREY 96 STREET LL,1990,1710 3 Avenue,NYS Division of Housing and Community Renewal,LIHTC 4%,1992,2022,East Harlem,"$53,185,950","134,279","$35,097",59.31%,1,
1020060007,175 WEST 137TH STREET,1,,TEAMS HOUSING DEVELOP,1931,175 West 137 Street,NYC Department of Housing Preservation and Development,Article 8A/HRP,2005,,Central Harlem,"$472,950","143,487","$46,537",37.44%,1,
1020620061,1773 Amsterdam Ave(Aileen Avery HDFC)/West Harlem Group,1,12,AILEEN AVERY HOUSINGD,1926,474 West 148 Street,NYC Department of Housing Preservation and Development,Article 8A/HRP,2009,,Morningside Heights/Hamilton Heights,"$213,300","125,195","$49,994",68.95%,1,
1017750006,1775 Houses 2013,1,255,1775 TP4 HOUSING DEVE,1980,107 East 126 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2013,,East Harlem,"$16,600,000","134,279","$35,097",59.31%,1,1
1019250013,180 Saint Nicholas Avenue HDFC,1,21,180 ST NICHOLAS HDFC,1910,180 St Nicholas Avenue,NYC Department of Housing Preservation and Development,Article 8A/HRP,2014,,Central Harlem,"$1,023,300","143,487","$46,537",37.44%,,
1018200002,1801 7TH AVENUE,1,25,1801-05 7TH AVE HSG,1904,1801 Adam C Powell Blvd,NYC Department of Housing Preservation and Development,Multi-Family Program,2007,,Central Harlem,"$1,984,950","143,487","$46,537",37.44%,,
1016467501,1865 SECOND AVE ASSOC,1,17,1865 SECOND AVE CONDO,1987,1865 2 Avenue,NYS Division of Housing and Community Renewal,LIHTC 4%,,,East Harlem,"$1,570,050","134,279","$35,097",59.31%,1,1
1018240003,1885-93 7th Avenue HDFC,2,32,1885-93 7TH AVE HDFC,1900,1885 Adam C Powell Blvd,NYC Department of Housing Preservation and Development,Article 8A/HRP,2011,,Central Harlem,"$2,239,200","143,487","$46,537",37.44%,,
1020680043,1893 AMSTERDAM,1,,"JENKINS, AUGUSTUS",1926,1893 Amsterdam Avenue,NYC Department of Housing Preservation and Development,Other HPD Programs,2004,,Morningside Heights/Hamilton Heights,"$247,500","125,195","$49,994",68.95%,,
1019930096,200 CLAREMONT A,1,41,200 CLAREMONT HDFC,1926,200 Claremont Avenue,NYC Department of Housing Preservation and Development,Article 8A/HRP,2004,,Morningside Heights/Hamilton Heights,"$2,001,600","125,195","$49,994",68.95%,,
1019480029,2021 APTS,1,13,"ABJ CHOSEN, LLC",1901,301 West 121 Street,NYS Division of Housing and Community Renewal,LIHTC 9%,1995,2025,Central Harlem,"$478,350","143,487","$46,537",37.44%,,
1019270033,2034 7TH AVENUE,1,57,HOUSING 2000 HOUSINGD,1910,2030 Adam C Powell Blvd,NYC Department of Housing Preservation and Development,Article 8A/HRP,2005,,Central Harlem,"$2,737,350","143,487","$46,537",37.44%,1,
1021140018,203K NRP COMMUNITY LEAGUE,1,13,GREEN CLOTH APARTMENT,1896,550 West 156 Street,NYC Department of Housing Preservation and Development,Neighborhood Redevelopment Program,2007,,Washington Heights/Inwood,"$152,100","238,759","$53,049",42.53%,,
1019260035,204 WEST 121 ST,1,9,HOUSING PRESERVATION,1910,2018 Adam C Powell Blvd,NYC Department of Housing Preservation and Development,Other HPD Programs,2003,,Central Harlem,"$1,371,150","143,487","$46,537",37.44%,,
1015380010,205 EAST 92ND STREET,,231,CARNEGIE PARK LAND HO,,203 East 92 Street,NYC Department of Housing Preservation and Development,Inclusionary Housing,2016,,Upper East Side,"$10,088,100","219,004","$119,261",30.87%,,
1017550020,2059 MADISON AVENUE,1,15,NYC HOUSING DEVELOPME,1926,47 East 130 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2009,,Central Harlem,"$862,650","143,487","$46,537",37.44%,1,
1017550050,2059 MADISON AVENUE,1,39,NYC HOUSING DEVELOPME,1926,2071 Madison Avenue,NYC Department of Housing Preservation and Development,Multi-Family Program,2009,,Central Harlem,"$1,480,500","143,487","$46,537",37.44%,,
1014210042,206-212 EAST 67TH STREET,1,35,"M.M.B. ASSOCIATES, 67",1900,210 East 67 Street,U.S. Department of Housing and Urban Development,Section 223(f),2013,2048,Upper East Side,"$1,800,000","219,004","$119,261",30.87%,,
1014210044,206-212 EAST 67TH STREET,1,36,"M.M.B. ASSOCIATES, 67",1900,206 East 67 Street,U.S. Department of Housing and Urban Development,Section 223(f),2013,2048,Upper East Side,"$2,110,000","219,004","$119,261",30.87%,,
1020330024,207 W. 147 St. HDFC,1,15,207 WEST 147TH ST ETA,1926,207 West 147 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2015,,Central Harlem,"$306,450","143,487","$46,537",37.44%,1,1
1018730039,210 WEST 102ND ST SETTLEMENT,1,26,SEMIPERM HOUSING DEVE,2006,210 West 102 Street,NYC Department of Housing Preservation and Development,Inclusionary Housing,2008,,Upper West Side,"$2,269,350","189,492","$113,448",49.24%,,
1019410023,211 WEST 135 STREET,1,8,211 W 135TH ST HSG DE,1910,211 West 135 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2007,,Central Harlem,"$221,352","143,487","$46,537",37.44%,,
1018790041,214 WEST 108 STREET,1,30,212-214 W 108TH ST HS,1900,212 West 108 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2006,,Morningside Heights/Hamilton Heights,"$727,650","125,195","$49,994",68.95%,,
1016830027,2159 FIRST AVE,1,30,2159 FIRST AVE HDFC,1920,2159 1 Avenue,NYC Department of Housing Preservation and Development,Article 8A/HRP,2004,,East Harlem,"$769,950","134,279","$35,097",59.31%,,
1007790027,217-221 W. 29th Street,1,95,29 PARK LLC,2014,221 West 29 Street,NYC Department of Housing Preservation and Development,Inclusionary Housing,2018,,Chelsea/Clinton/Midtown,"$1,601,423","140,247","$103,538",55.39%,,
1020260047,218/220/222 W. 141 Street,3,30,218 220 222 WEST 141S,1910,220 West 141 Street,NYC Department of Housing Preservation and Development,Article 8A/HRP,2010,,Central Harlem,"$496,350","143,487","$46,537",37.44%,1,
1019410018,221 W 135TH ST,1,9,221 W 135TH STREET,1910,221 West 135 Street,NYS Division of Housing and Community Renewal,LIHTC 9%,1997,2027,Central Harlem,"$234,341","143,487","$46,537",37.44%,,
1009200012,225 E 39th Street (fka 222 East 40th Street),1,,605 THIRD AVENUE FEE,1963,605 3 Avenue,NYC Department of Housing Preservation and Development,Inclusionary Housing,2017,,Stuyvesant Town/Turtle Bay,"$133,920,450","141,162","$112,562",40.09%,,
1018260052,226 WEST 111 STREET,1,25,226 WEST 111TH STREET,1910,226 West 111 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2008,,Central Harlem,"$1,174,950","143,487","$46,537",37.44%,,1
1018280040,226 West 113th Street HDFC,1,18,226 W 113 HSG DVLP FD,1920,226 West 113 Street,NYC Department of Housing Preservation and Development,Article 8A/HRP,2014,,Central Harlem,"$1,059,750","143,487","$46,537",37.44%,1,
1018270018,229 WEST 111 STREET,1,18,229 WEST 111TH STREET,1920,229 West 111 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2005,,Central Harlem,"$761,850","143,487","$46,537",37.44%,,
1008960017,235 E 14TH ST,1,17,235 EAST 14TH STREET,1988,235 East 14 Street,NYS Division of Housing and Community Renewal,LIHTC 4%,,,Stuyvesant Town/Turtle Bay,"$1,394,100","141,162","$112,562",40.09%,,
1017860016,235 EAST 121 STREET,1,8,235 EAST 121ST STREET,1900,235 East 121 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2005,,East Harlem,"$208,412","134,279","$35,097",59.31%,1,
1018270052,242 WEST 112TH STREET,1,16,242 WEST 112TH STREET,1900,242 West 112 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2005,,Central Harlem,"$289,350","143,487","$46,537",37.44%,,
1020100063,2427 ADAM CLAYTON POWELL,1,17,"2427 PROPERTY, LLC",1910,2427 Adam C Powell Blvd,NYC Department of Housing Preservation and Development,Participation Loan Program,2010,,Central Harlem,"$815,400","143,487","$46,537",37.44%,,
1005070010,244-246 Elizabeth Street,1,20,RESTORING COMMUNITIES,1900,244 Elizabeth Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2013,,Greenwich Village/Financial District,"$850,659","152,813","$139,896",43.25%,,
1020290029,2460 7TH AVENUE,1,52,2460 7TH AVENUE HDFC,1950,2460 Adam C Powell Blvd,NYC Department of Housing Preservation and Development,Multi-Family Program,2007,,Central Harlem,"$2,442,600","143,487","$46,537",37.44%,,
1003850029,248 EAST 3 ST,1,23,248 EAST THIRD STREET,1910,248 East 3 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2004,,Lower East Side/Chinatown,"$870,750","159,296","$42,014",72.15%,,
1014147503,250 EAST 60TH STREET,1,42,,2006,250 East 60 Street,NYC Department of Housing Preservation and Development,Inclusionary Housing,2008,,Upper East Side,"$3,258,450","219,004","$119,261",30.87%,,
1003860011,250-254 EAST 4TH STREET,3,34,250-254 EAST 4TH STLP,1900,250 East 4 Street,NYC Department of Housing Preservation and Development,Inclusionary Housing,2012,,Lower East Side/Chinatown,"$743,400","159,296","$42,014",72.15%,1,
1019390003,2502 FREDERICK DOUGLASS BLVD,1,9,AFF-WHGA MIN11E L.P.,1910,2494 Fredrick Douglass Bl,NYS Division of Housing and Community Renewal,LIHTC 9%,1995,2025,Central Harlem,"$118,703","143,487","$46,537",37.44%,,
1019390062,2502 FREDERICK DOUGLASS BLVD,1,9,AFF-WHGA MIN11E L.P.,1910,2502 Fredrick Douglass Bl,NYS Division of Housing and Community Renewal,LIHTC 9%,1995,2025,Central Harlem,"$117,451","143,487","$46,537",37.44%,,
1020320030,2524-26 ACP BLVD,1,11,7TH AVENUE HOUSING DE,1920,2524 Adam C Powell Blvd,NYC Department of Housing Preservation and Development,Participation Loan Program,2006,,Central Harlem,"$921,150","143,487","$46,537",37.44%,1,
1007790007,257 West 29th Street Supportive Housing,1,14,FRIENDS HOUSE WEST HO,,257 West 29 Street,NYC Department of Housing Preservation and Development,Inclusionary Housing,2017,,Chelsea/Clinton/Midtown,"$292,050","140,247","$103,538",55.39%,,1
1019240009,269-271 WEST 118 ST.,1,11,ONE EIGHTEEN HOUSINGD,1910,271 West 118 Street,NYC Department of Housing Preservation and Development,Participation Loan Program,2006,,Central Harlem,"$342,000","143,487","$46,537",37.44%,1,
1019240010,269-271 WEST 118 ST.,1,11,ONE EIGHTEEN HOUSINGD,1910,269 West 118 Street,NYC Department of Housing Preservation and Development,Participation Loan Program,2006,,Central Harlem,"$342,000","143,487","$46,537",37.44%,1,
1020570046,270 Convent Ave HDFC,1,60,270 CONVENT AVE HDFC,1916,270 Convent Avenue,NYC Department of Housing Preservation and Development,Multi-Family Program,2015,,Morningside Heights/Hamilton Heights,"$1,370,000","125,195","$49,994",68.95%,,
1020460029,2837 FREDERICK DOUGLASS BLVD,1,9,HARLEM URBAN DEV CORP,1910,2837 Fredrick Douglass Bl,NYS Division of Housing and Community Renewal,LIHTC 4%,1991,2021,Central Harlem,"$470,871","143,487","$46,537",37.44%,1,
1020360013,285 W. 150 ST.,1,35,SHUHAB HDFC,1920,285 West 150 Street,NYC Department of Housing Preservation and Development,Participation Loan Program,2007,,Central Harlem,"$364,050","143,487","$46,537",37.44%,,
1003720019,292 East 3rd Street,1,9,BULLET SPACE HOUSING,1920,292 East 3 Street,NYC Department of Housing Preservation and Development,Article 8A/HRP,2012,,Lower East Side/Chinatown,"$164,794","159,296","$42,014",72.15%,1,
1010377501,301 West 46th Street,2,12,,2014,739 8 Avenue,NYC Department of Housing Preservation and Development,Inclusionary Housing,2017,,Chelsea/Clinton/Midtown,"$2,277,738","140,247","$103,538",55.39%,,
1003900009,304-306 EAST 8TH STREET HDFC,2,16,REHABILITATION ACTNET,1900,304 East 8 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2016,,Lower East Side/Chinatown,"$1,003,950","159,296","$42,014",72.15%,,
1018460039,307 WEST 111 STREET,1,15,307 WEST 111TH STREET,1910,307 West 111 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2006,,Central Harlem,"$471,150","143,487","$46,537",37.44%,,
1017960148,308 EAST 120 STREET,1,6,308 E 120TH ST HSG DE,1900,308 East 120 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2007,,East Harlem,"$143,959","134,279","$35,097",59.31%,,
1019480043,310 WEST 122 STREET,1,10,310-312 W 122ND ST HS,1901,310 West 122 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2008,,Central Harlem,"$258,150","143,487","$46,537",37.44%,,
1019480044,312 WEST 122 STREET,1,10,310-312 W 122ND ST HS,1910,312 West 122 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2008,,Central Harlem,"$387,345","143,487","$46,537",37.44%,,
1010370043,316 W 47 STR,1,12,316 WEST 47TH STREET,1920,316 West 47 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2004,,Chelsea/Clinton/Midtown,"$762,300","140,247","$103,538",55.39%,,
1018470068,320 MANHATTAN AVENUE/PLP,1,59,320 MANHATTAN NYC LIM,1920,320 Manhattan Avenue,NYS Division of Housing and Community Renewal,LIHTC 9%,1995,2025,Central Harlem,"$1,084,500","143,487","$46,537",37.44%,,
1010370045,320 WEST 47TH STREET,1,10,320 WEST 47 ST HDFC,1920,320 West 47 Street,NYC Department of Housing Preservation and Development,Article 8A/HRP,2005,,Chelsea/Clinton/Midtown,"$307,464","140,247","$103,538",55.39%,,
1014350015,321 East 60th Street,,,ADHP HOUSING DEVELOPM,,East 60 Street,NYC Department of Housing Preservation and Development,Inclusionary Housing,2017,,Upper East Side,"$562,950","219,004","$119,261",30.87%,,1
1014440013,321 EAST 69TH STREET APARTMENT,1,38,321 EAST 69TH STREET,1920,321 East 69 Street,U.S. Department of Housing and Urban Development,Section 223(f),2012,2047,Upper East Side,"$3,015,900","219,004","$119,261",30.87%,,
1019110031,325 LENOX AVENUE,1,12,HP BUILDING - 351 ST.,1920,325 Lenox Avenue,NYC Department of Housing Preservation and Development,Article 8A/HRP,2004,,Central Harlem,"$319,950","143,487","$46,537",37.44%,1,
1017110024,325 PLEASANT AVENUE,1,8,325-327 PLEASANT AVEN,1900,325 Pleasant Avenue,NYC Department of Housing Preservation and Development,Multi-Family Program,2006,,East Harlem,"$196,742","134,279","$35,097",59.31%,,
1011717506,33 W END AVE APTS,1,331,THE 33 WEST END AVE C,2006,33 West End Avenue,NYS Housing Finance Agency,LIHTC 4%,2006,2036,Upper West Side,"$21,532,950","189,492","$113,448",49.24%,1,
1016830018,335 EAST 111TH STREET,1,66,N Y C H A,1969,2153 1 Avenue,New York City Housing Authority,Federal Public Housing,1969,,East Harlem,"$1,921,050","134,279","$35,097",59.31%,,
1020870031,3405 Broadway HDFC,1,16,3405 BROADWAY HDFC,1910,3405 Broadway,NYC Department of Housing Preservation and Development,Article 8A/HRP,2013,,Morningside Heights/Hamilton Heights,"$616,950","125,195","$49,994",68.95%,1,
1009330025,344 EAST 28TH STREET,1,225,NYC HOUSING AUTHORITY,1970,463 1 Avenue,New York City Housing Authority,NYCHA - Mixed Financing,1971,,Stuyvesant Town/Turtle Bay,"$17,015,400","141,162","$112,562",40.09%,,
1019120033,349-59 LENOX AVENUE,6,26,349-59 LENOX LLC C/O,1910,349 Lenox Avenue,NYC Department of Housing Preservation and Development,LIHTC 4%,1998,2028,Central Harlem,"$596,250","143,487","$46,537",37.44%,1,
1017210056,35 MT MORRIS PARK,1,32,35MT MORRIS PARK WEST,1900,35 Mt Morris Park West,NYC Department of Housing Preservation and Development,Article 8A/HRP,2007,,Central Harlem,"$1,329,300","143,487","$46,537",37.44%,1,
1019540046,351 ST. NICHOLAS AVENUE,1,36,351 ST. NICHOLAS AVEN,1926,351 St Nicholas Avenue,NYC Department of Housing Preservation and Development,Article 8A/HRP,2004,,Morningside Heights/Hamilton Heights,"$915,300","125,195","$49,994",68.95%,,
1017250069,352 LENOX AVE,2,18,352-354 LENOX LLC,1900,354 Lenox Avenue,NYS Division of Housing and Community Renewal,LIHTC 9%,1996,2026,Central Harlem,"$529,650","143,487","$46,537",37.44%,1,1
1019680027,36 CONVENT AVENUE,1,25,36 CONVENT AVE HDFC,1926,36 Convent Avenue,NYC Department of Housing Preservation and Development,Article 8A/HRP,2008,,Morningside Heights/Hamilton Heights,"$535,050","125,195","$49,994",68.95%,,
1003410075,36-44 ATTORNEY,1,28,36 ATTORNEY STREET HO,1910,157 Broome Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2004,,Lower East Side/Chinatown,"$2,055,150","159,296","$42,014",72.15%,1,
1020800003,3605 BROADWAY,1,8,3600 BROADWAY OWNER L,1920,3604 Broadway,NYC Department of Housing Preservation and Development,Multi-Family Program,2004,,Morningside Heights/Hamilton Heights,"$567,900","125,195","$49,994",68.95%,1,
1018400037,4-6 WEST 105TH. STREET HDFC,1,35,4-6 WEST 105 ST HSING,1900,4 West 105 Street,NYC Department of Housing Preservation and Development,Article 8A/HRP,2007,,Upper West Side,"$869,400","189,492","$113,448",49.24%,1,
1010500029,401 W 40TH ST,7,70,CLINTON HOUSING WEST4,1890,541 9 Avenue,NYC Department of Housing Preservation and Development,LIHTC 9%,1998,2028,Chelsea/Clinton/Midtown,"$2,437,200","140,247","$103,538",55.39%,,1
1003790011,404 East 10 Street HDFC,1,11,TENANTS OF 404 E 10TH,1900,404 East 10 Street,NYC Department of Housing Preservation and Development,Multi-Family Program,2015,,Lower East Side/Chinatown,"$770,850","159,296","$42,014",72.15%,,1
1018060041,414-418 E 119 S,2,48,414 EAST 119TH OWNER,1900,416 East 119 Street,NYC Department of Housing Preservation and Development,Article 8A/HRP,2004,,East Harlem,"$427,500","134,279","$35,097",59.31%,,
