congress,chamber,bioguide,firstname,middlename,lastname,suffix,birthday,state,party,incumbent,termstart,age
95,house,w000610,robert,carlton,wilson,,4/5/1916,ca,r,yes,1/4/1977,60.8
95,house,c000638,james,mitchell,collins,,4/29/1916,tx,r,yes,1/4/1977,60.7
95,house,g000272,henry,barbosa,gonzlez,,5/3/1916,tx,d,yes,1/4/1977,60.7
95,house,r000337,james,kenneth,robinson,,5/14/1916,va,r,yes,1/4/1977,60.6
95,house,b000605,richard,walker,bolling,,5/17/1916,mo,d,yes,1/4/1977,60.6
95,house,m000796,joseph,george,minish,,9/1/1916,nj,d,yes,1/4/1977,60.3
95,house,s000217,keith,george,sebelius,,9/10/1916,ks,r,yes,1/4/1977,60.3
95,house,r000188,john,jacob,rhodes,,9/18/1916,az,r,yes,1/4/1977,60.3
95,house,s000997,samuel,studdiford,stratton,,9/27/1916,ny,d,yes,1/4/1977,60.3
95,house,y000043,john,andrew,young,,11/10/1916,tx,d,yes,1/4/1977,60.2
95,house,s000844,newton,ivan,steers,jr.,1/13/1917,md,r,no,1/4/1977,60
95,house,w000571,charles,herbert,wilson,,2/15/1917,ca,d,yes,1/4/1977,59.9
95,house,f000041,dante,bruno,fascell,,3/9/1917,fl,d,yes,1/4/1977,59.8
95,house,o000010,george,miller,o'brien,,6/17/1917,il,r,yes,1/4/1977,59.6
95,house,b000432,mario,,biaggi,,10/26/1917,ny,d,yes,1/4/1977,59.2
95,house,m000718,clarence,e.,miller,,11/1/1917,oh,r,yes,1/4/1977,59.2
95,house,m000436,john,joseph,mcfall,,2/20/1918,ca,d,yes,1/4/1977,58.9
95,house,s000716,gladys,noon,spellman,,3/1/1918,md,d,yes,1/4/1977,58.8
95,house,c000263,elford,albin,cederberg,,3/6/1918,mi,r,yes,1/4/1977,58.8
95,house,t000200,frank,,thompson,jr.,7/26/1918,nj,d,yes,1/4/1977,58.4
95,house,w000018,joseph,david,waggonner,jr.,9/7/1918,la,d,yes,1/4/1977,58.3
95,house,s000230,john,frederick,seiberling,,9/8/1918,oh,d,yes,1/4/1977,58.3
95,house,n000095,william,flynt,nichols,,10/16/1918,al,d,yes,1/4/1977,58.2
95,house,w000680,lester,lionel,wolff,,1/4/1919,ny,d,yes,1/4/1977,58
95,house,p000520,lunsford,richardson,preyer,,1/11/1919,nc,d,yes,1/4/1977,58
95,house,k000025,abraham,,kazen,jr.,1/17/1919,tx,d,yes,1/4/1977,58
95,house,d000534,john,james,duncan,,3/24/1919,tn,r,yes,1/4/1977,57.8
95,house,g000515,vonno,lamar,gudger,jr.,4/30/1919,nc,d,no,1/4/1977,57.7
95,house,w000636,edward,lawrence,winn,jr.,8/22/1919,ks,r,yes,1/4/1977,57.4
95,house,g000151,robert,nicholas,giaimo,,10/15/1919,ct,d,yes,1/4/1977,57.2
95,house,h000797,frank,jefferson,horton,,12/12/1919,ny,r,yes,1/4/1977,57.1
95,house,c000782,robert,john,cornell,,12/16/1919,wi,d,yes,1/4/1977,57.1
95,house,m000433,robert,cameron,mcewen,,1/5/1920,ny,r,yes,1/4/1977,57
95,house,g000153,sam,melville,gibbons,,1/20/1920,fl,d,yes,1/4/1977,57
95,house,s000124,james,haas,scheuer,,2/6/1920,ny,d,yes,1/4/1977,56.9
95,house,l000116,delbert,leroy,latta,,3/5/1920,oh,r,yes,1/4/1977,56.8
95,house,b000918,george,e.,brown,jr.,3/6/1920,ca,d,yes,1/4/1977,56.8
95,house,s000087,harold,samuel,sawyer,,3/21/1920,mi,r,no,1/4/1977,56.8
95,house,s000596,neal,edward,smith,,3/23/1920,ia,d,yes,1/4/1977,56.8
95,house,m000105,james,robert,mann,,4/27/1920,sc,d,yes,1/4/1977,56.7
95,house,c000512,james,colgate,cleveland,,6/13/1920,nh,r,yes,1/4/1977,56.6
95,house,r000495,eldon,dean,rudd,,7/15/1920,az,r,no,1/4/1977,56.5
95,house,h000158,james,michael,hanley,,7/19/1920,ny,d,yes,1/4/1977,56.5
95,house,w000317,charles,william,whalen,jr.,7/31/1920,oh,r,yes,1/4/1977,56.4
95,house,m000865,gillespie,v.,montgomery,,8/5/1920,ms,d,yes,1/4/1977,56.4
95,house,h000747,marjorie,sewell,holt,,9/17/1920,md,r,yes,1/4/1977,56.3
95,house,c000780,james,charles,corman,,10/20/1920,ca,d,yes,1/4/1977,56.2
95,house,d000499,robert,frederick,drinan,,11/15/1920,ma,d,yes,1/4/1977,56.1
95,house,w000781,chalmers,pangburn,wylie,,11/23/1920,oh,r,yes,1/4/1977,56.1
95,house,s000070,david,edward,satterfield,iii,12/2/1920,va,d,yes,1/4/1977,56.1
95,house,d000537,robert,blackford,duncan,,12/4/1920,or,d,yes,1/4/1977,56.1
95,house,h000281,william,howard,harsha,,1/1/1921,oh,r,yes,1/4/1977,56
95,house,e000096,joshua,,eilberg,,2/12/1921,pa,d,yes,1/4/1977,55.9
95,house,b000298,berkley,warren,bedell,,3/5/1921,ia,d,yes,1/4/1977,55.8
95,house,b000431,tom,,bevill,,3/27/1921,al,d,yes,1/4/1977,55.8
95,house,r000401,paul,grant,rogers,,6/4/1921,fl,d,yes,1/4/1977,55.6
95,house,f000123,paul,,findley,,6/23/1921,il,r,yes,1/4/1977,55.5
95,house,p000348,otis,grey,pike,,8/31/1921,ny,d,yes,1/4/1977,55.3
95,house,k000153,william,matthew,ketchum,,9/2/1921,ca,r,yes,1/4/1977,55.3
95,house,c000709,silvio,ottavio,conte,,11/9/1921,ma,r,yes,1/4/1977,55.2
95,house,b001080,clair,walter,burgener,,12/5/1921,ca,r,yes,1/4/1977,55.1
95,house,m000365,mike,,mccormack,,12/14/1921,wa,d,yes,1/4/1977,55.1
95,house,c000321,william,venroe,chappell,jr.,2/3/1922,fl,d,yes,1/4/1977,54.9
95,house,a000195,john,bayard,anderson,,2/15/1922,il,r,yes,1/4/1977,54.9
95,house,b000153,druie,douglas,barnard,jr.,3/20/1922,ga,d,no,1/4/1977,54.8
95,house,b000890,william,s.,broomfield,,4/28/1922,mi,r,yes,1/4/1977,54.7
95,house,m000826,parren,james,mitchell,,4/29/1922,md,d,yes,1/4/1977,54.7
95,house,h000124,john,paul,hammerschmidt,,5/4/1922,ar,r,yes,1/4/1977,54.7
95,house,m000926,carlos,john,moorhead,,5/6/1922,ca,r,yes,1/4/1977,54.7
95,house,u000001,morris,king,udall,,6/15/1922,az,d,yes,1/4/1977,54.6
95,house,l000379,james,fredrick,lloyd,,9/27/1922,ca,d,yes,1/4/1977,54.3
95,house,c000666,barber,benjamin,conable,jr.,11/2/1922,ny,r,yes,1/4/1977,54.2
95,house,d000344,charles,coles,diggs,jr.,12/2/1922,mi,d,yes,1/4/1977,54.1
95,house,g000212,benjamin,,gilman,,12/6/1922,ny,r,yes,1/4/1977,54.1
95,house,b000880,jack,bascom,brooks,,12/18/1922,tx,d,yes,1/4/1977,54
95,house,w000763,james,claude,wright,jr.,12/22/1922,tx,d,yes,1/4/1977,54
95,house,a000222,thomas,ludlow,ashley,,1/11/1923,oh,d,yes,1/4/1977,54
95,house,a000009,james,,abdnor,,2/13/1923,sd,r,yes,1/4/1977,53.9
95,house,m000692,robert,henry,michel,,3/2/1923,il,r,yes,1/4/1977,53.8
95,house,m000930,william,singer,moorhead,,4/8/1923,pa,d,yes,1/4/1977,53.7
95,house,c000475,donald,holst,clausen,,4/27/1923,ca,r,yes,1/4/1977,53.7
95,house,w000390,richard,crawford,white,,4/29/1923,tx,d,yes,1/4/1977,53.7
95,house,l000417,gillis,william,long,,5/4/1923,la,d,yes,1/4/1977,53.7
95,house,m000808,donald,jerome,mitchell,,5/8/1923,ny,r,yes,1/4/1977,53.7
95,house,r000442,benjamin,stanley,rosenthal,,6/8/1923,ny,d,yes,1/4/1977,53.6
95,house,b000917,garry,eldridge,brown,,8/12/1923,mi,r,yes,1/4/1977,53.4
95,house,e000240,frank,edward,evans,,9/6/1923,co,d,yes,1/4/1977,53.3
95,house,q000010,albert,harold,quie,,9/18/1923,mn,r,yes,1/4/1977,53.3
95,house,r000232,frederick,william,richmond,,11/15/1923,ny,d,yes,1/4/1977,53.1
95,house,y000051,robert,anton,young,iii,11/22/1923,mo,d,no,1/4/1977,53.1
95,house,t000234,charles,,thone,,1/4/1924,ne,r,yes,1/4/1977,53
95,house,h000070,sam,blakeley,hall,jr.,1/11/1924,tx,d,yes,1/4/1977,53
95,house,k000020,robert,william,kastenmeier,,1/24/1924,wi,d,yes,1/4/1977,52.9
95,house,f000350,donald,mackay,fraser,,2/20/1924,mn,d,yes,1/4/1977,52.9
95,house,s000804,john,william,stanton,,2/20/1924,oh,r,yes,1/4/1977,52.9
95,house,r000383,robert,a.,roe,,2/28/1924,nj,d,yes,1/4/1977,52.9
95,house,r000510,harold,lowell,runnels,,3/17/1924,nm,d,yes,1/4/1977,52.8
95,house,h001022,henry,john,hyde,,4/18/1924,il,r,yes,1/4/1977,52.7
95,house,w000780,john,waldemar,wydler,,6/9/1924,ny,r,yes,1/4/1977,52.6
95,house,p000273,shirley,neil,pettis,,7/12/1924,ca,r,yes,1/4/1977,52.5
95,house,a000177,joseph,scofield,ammerman,,7/14/1924,pa,d,no,1/4/1977,52.5
95,house,k000077,richard,,kelly,,7/31/1924,fl,r,yes,1/4/1977,52.4
95,house,a000069,daniel,kahikina,akaka,,9/11/1924,hi,d,no,1/4/1977,52.3
95,house,h000449,cecil,landau,heftel,,9/30/1924,hi,d,no,1/4/1977,52.3
95,house,c000371,shirley,anita,chisholm,,11/30/1924,ny,d,yes,1/4/1977,52.1
95,house,r000141,ralph,,regula,,12/3/1924,oh,r,yes,1/4/1977,52.1
95,house,k000302,edward,irving,koch,,12/12/1924,ny,d,yes,1/4/1977,52.1
95,house,h000166,mark,warren,hannaford,,2/7/1925,ca,d,yes,1/4/1977,51.9
95,house,s000948,louis,,stokes,,2/23/1925,oh,d,yes,1/4/1977,51.9
95,house,m000490,koln,gunn,mckay,,2/23/1925,ut,d,yes,1/4/1977,51.9
95,house,w000406,george,william,whitehurst,,3/12/1925,va,r,yes,1/4/1977,51.8
95,house,a000052,joseph,patrick,addabbo,,3/17/1925,ny,d,yes,1/4/1977,51.8
95,house,r000558,leo,joseph,ryan,,5/5/1925,ca,d,yes,1/4/1977,51.7
95,house,p000546,joel,mcfee,pritchard,,5/5/1925,wa,r,yes,1/4/1977,51.7
95,house,n000019,lucien,norbert,nedzi,,5/28/1925,mi,d,yes,1/4/1977,51.6
95,house,b001182,manley,caldwell,butler,,6/2/1925,va,r,yes,1/4/1977,51.6
95,house,d000326,william,louis,dickinson,,6/5/1925,al,r,yes,1/4/1977,51.6
95,house,l000508,thomas,andrew,luken,,7/9/1925,oh,d,no,1/4/1977,51.5
95,house,a000207,ike,franklin,andrews,,9/2/1925,nc,d,yes,1/4/1977,51.3
95,house,r000423,frederick,bernard,rooney,,11/6/1925,pa,d,yes,1/4/1977,51.2
95,house,m000703,abner,joseph,mikva,,1/21/1926,il,d,yes,1/4/1977,51
95,house,m000708,dale,,milford,,2/18/1926,tx,d,yes,1/4/1977,50.9
95,house,h000624,elwood,haynes,hillis,,3/6/1926,in,r,yes,1/4/1977,50.8
95,house,h000241,herbert,eugene,harris,ii,4/14/1926,va,d,yes,1/4/1977,50.7
95,house,w000121,william,creed,wampler,,4/21/1926,va,r,yes,1/4/1977,50.7
95,house,b000083,alvin,james,baldus,,4/27/1926,wi,d,yes,1/4/1977,50.7
95,house,a000208,mark,,andrews,,5/19/1926,nd,r,yes,1/4/1977,50.6
95,house,b001156,phillip,,burton,,6/1/1926,ca,d,yes,1/4/1977,50.6
95,house,f000141,hamilton,,fish,jr.,6/3/1926,ny,r,yes,1/4/1977,50.6
95,house,i000001,richard,howard,ichord,ii,6/27/1926,mo,d,yes,1/4/1977,50.5
95,house,g000105,joseph,matthew,gaydos,,7/3/1926,pa,d,yes,1/4/1977,50.5
95,house,d000355,john,d.,dingell,,7/8/1926,mi,d,yes,1/4/1977,50.5
95,house,c000799,william,ross,cotter,,7/18/1926,ct,d,yes,1/4/1977,50.5
95,house,l000221,robert,louis,leggett,,7/26/1926,ca,d,yes,1/4/1977,50.4
95,house,m001098,john,michael,murphy,,8/3/1926,ny,d,yes,1/4/1977,50.4
95,house,l000020,robert,john,lagomarsino,,9/4/1926,ca,r,yes,1/4/1977,50.3
95,house,h000582,jack,english,hightower,,9/6/1926,tx,d,yes,1/4/1977,50.3
95,house,d000269,edward,joseph,derwinski,,9/15/1926,il,r,yes,1/4/1977,50.3
95,house,r000512,philip,edward,ruppe,,9/29/1926,mi,r,yes,1/4/1977,50.3
95,house,k000325,john,hans,krebs,,12/17/1926,ca,d,yes,1/4/1977,50.1
95,house,w000419,charles,orville,whitley,,1/3/1927,nc,d,no,1/4/1977,50
95,house,a000031,brockman,,adams,,1/13/1927,wa,d,yes,1/4/1977,50
95,house,e000204,john,neal,erlenborn,,2/8/1927,il,r,yes,1/4/1977,49.9
95,house,m001130,john,thomas,myers,,2/8/1927,in,r,yes,1/4/1977,49.9
95,house,m000136,marc,lincoln,marks,,2/12/1927,pa,r,no,1/4/1977,49.9
95,house,b000736,john,,brademas,,3/2/1927,in,d,yes,1/4/1977,49.8
95,house,s001044,robert,,stump,,4/4/1927,az,d,no,1/4/1977,49.8
95,house,s000367,george,edward,shipley,,4/21/1927,il,d,yes,1/4/1977,49.7
95,house,m000834,john,joseph,moakley,,4/27/1927,ma,d,yes,1/4/1977,49.7
95,house,m001088,austin,john,murphy,,6/17/1927,pa,d,no,1/4/1977,49.6
95,house,b000910,clarence,j.,brown,jr.,6/18/1927,oh,r,yes,1/4/1977,49.5
95,house,z000002,leo,c.,zeferetti,,7/15/1927,ny,d,yes,1/4/1977,49.5
95,house,h000840,james,john,howard,,7/24/1927,nj,d,yes,1/4/1977,49.5
95,house,f000270,william,david,ford,,8/6/1927,mi,d,yes,1/4/1977,49.4
95,house,w000227,james,howard,weaver,,8/8/1927,or,d,yes,1/4/1977,49.4
95,house,b000966,james,thomas,broyhill,,8/19/1927,nc,r,yes,1/4/1977,49.4
95,house,w000258,theodore,s.,weiss,,9/17/1927,ny,d,no,1/4/1977,49.3
95,house,d000203,eligio,ii,de la garza,,9/22/1927,tx,d,yes,1/4/1977,49.3
95,house,m000343,paul,norton,mccloskey,jr.,9/29/1927,ca,r,yes,1/4/1977,49.3
95,house,y000014,gus,,yatron,,10/16/1927,pa,d,yes,1/4/1977,49.2
95,house,r000469,john,harbin,rousselot,,11/1/1927,ca,r,yes,1/4/1977,49.2
95,house,w000448,charles,edward,wiggins,,12/3/1927,ca,r,yes,1/4/1977,49.1
95,house,g000291,william,f.,goodling,,12/5/1927,pa,r,yes,1/4/1977,49.1
95,house,m000626,lloyd,,meeds,,12/11/1927,wa,d,yes,1/4/1977,49.1
95,house,r000458,daniel,david,rostenkowski,,1/2/1928,il,d,yes,1/4/1977,49
95,house,s000762,fernand,joseph,st. germain,,1/9/1928,ri,d,yes,1/4/1977,49
95,house,s000669,marion,gene,snyder,,1/26/1928,ky,r,yes,1/4/1977,48.9
95,house,t000075,gene,,taylor,,2/10/1928,mo,r,yes,1/4/1977,48.9
95,house,b001008,john,hall,buchanan,jr.,3/19/1928,al,r,yes,1/4/1977,48.8
95,house,a000215,bill,,archer,,3/22/1928,tx,r,yes,1/4/1977,48.8
95,house,a000214,douglas,earl,applegate,,3/27/1928,oh,d,no,1/4/1977,48.8
95,house,s000718,floyd,,spence,,4/9/1928,sc,r,yes,1/4/1977,48.7
95,house,l000506,manuel,,lujn,jr.,5/12/1928,nm,r,yes,1/4/1977,48.6
95,house,a000170,jerome,anthony,ambro,jr.,6/27/1928,ny,d,yes,1/4/1977,48.5
95,house,t000243,raymond,hoyt,thornton,jr.,7/16/1928,ar,d,yes,1/4/1977,48.5
95,house,t000362,david,conner,treen,,7/16/1928,la,r,yes,1/4/1977,48.5
95,house,b000408,robert,selmer,bergland,,7/22/1928,mn,d,yes,1/4/1977,48.5
95,house,f000380,william,eldridge,frenzel,,7/31/1928,mn,r,yes,1/4/1977,48.4
95,house,l000561,joseph,anthony,lefante,,9/8/1928,nj,d,no,1/4/1977,48.3
95,house,e000084,william,jackson,edwards,,9/20/1928,al,r,yes,1/4/1977,48.3
95,house,a000221,john,milan,ashbrook,,9/21/1928,oh,r,yes,1/4/1977,48.3
95,house,f000161,floyd,james,fithian,,11/3/1928,in,d,yes,1/4/1977,48.2
95,house,s000423,paul,martin,simon,,11/29/1928,il,d,yes,1/4/1977,48.1
95,house,g000349,willis,david,gradison,jr.,12/28/1928,oh,r,yes,1/4/1977,48
95,house,l000381,marilyn,laird,lloyd,,1/3/1929,tn,d,yes,1/4/1977,48
95,house,o000134,richard,lawrence,ottinger,,1/27/1929,ny,d,yes,1/4/1977,47.9
95,house,m000685,helen,stevenson,meyner,,3/5/1929,nj,d,yes,1/4/1977,47.8
95,house,f000239,thomas,stephen,foley,,3/6/1929,wa,d,yes,1/4/1977,47.8
95,house,c000807,robert,lawrence,coughlin,,4/11/1929,pa,r,yes,1/4/1977,47.7
95,house,c000714,john,,conyers,jr.,5/16/1929,mi,d,yes,1/4/1977,47.6
95,house,b000024,robert,edward,badham,,6/9/1929,ca,r,no,1/4/1977,47.6
95,house,b001221,goodloe,edgar,byron,,6/22/1929,md,d,yes,1/4/1977,47.5
95,house,s000146,richard,taylor,schulze,,8/7/1929,pa,r,yes,1/4/1977,47.4
95,house,b000025,herman,,badillo,,8/21/1929,ny,d,yes,1/4/1977,47.4
95,house,k000190,thomas,norman,kindness,,8/26/1929,oh,r,yes,1/4/1977,47.4
95,house,k000172,dale,e.,kildee,,9/16/1929,mi,d,no,1/4/1977,47.3
95,house,b000029,louis,arthur,bafalis,,9/28/1929,fl,r,yes,1/4/1977,47.3
95,house,g000417,sedgwick,william,green,,10/16/1929,ny,r,no,1/4/1977,47.2
95,house,s000795,arlan,ingehart,stangeland,,2/8/1930,mn,r,no,1/4/1977,46.9
95,house,h000448,willie,gathrel,hefner,,4/11/1930,nc,d,yes,1/4/1977,46.7
95,house,j000148,james,paul,johnson,,6/2/1930,co,r,yes,1/4/1977,46.6
95,house,r000053,charles,b.,rangel,,6/11/1930,ny,d,yes,1/4/1977,46.6
95,house,k000162,martha,elizabeth,keys,,8/10/1930,ks,d,yes,1/4/1977,46.4
95,house,i000029,andrew,poysell,ireland,,8/23/1930,fl,d,no,1/4/1977,46.4
95,house,h000171,george,vernon,hansen,,9/14/1930,id,r,yes,1/4/1977,46.3
95,house,c000873,philip,m.,crane,,11/3/1930,il,r,yes,1/4/1977,46.2
95,house,y000031,c.,w. bill,young,,12/16/1930,fl,r,yes,1/4/1977,46.1
95,house,b000839,jack,thomas,brinkley,,12/22/1930,ga,d,yes,1/4/1977,46
95,house,l000265,elliott,harris,levitas,,12/26/1930,ga,d,yes,1/4/1977,46
95,house,m000527,stewart,brett,mckinney,,1/30/1931,ct,r,yes,1/4/1977,45.9
95,house,b001113,william,dean,burlison,,3/15/1931,mo,d,yes,1/4/1977,45.8
95,house,l000243,norman,frederick,lent,,3/23/1931,ny,r,yes,1/4/1977,45.8
95,house,c000992,john,edward,cunningham,iii,3/27/1931,wa,r,no,1/4/1977,45.8
95,house,v000112,harold,lee,volkmer,,4/4/1931,mo,d,no,1/4/1977,45.8
95,house,h000114,lee,herbert,hamilton,,4/20/1931,in,d,yes,1/4/1977,45.7
95,house,c000488,william,lacy,clay,sr.,4/30/1931,mo,d,yes,1/4/1977,45.7
95,house,h000440,margaret,m.,heckler,,6/21/1931,ma,r,yes,1/4/1977,45.5
95,house,t000356,jerome,bob,traxler,,7/21/1931,mi,d,yes,1/4/1977,45.5
95,house,v000027,guy,adrian,vander jagt,,8/26/1931,mi,r,yes,1/4/1977,45.4
95,house,r000262,matthew,john,rinaldo,,9/1/1931,nj,r,yes,1/4/1977,45.3
95,house,c000634,cardiss,,collins,,9/24/1931,il,d,yes,1/4/1977,45.3
95,house,p000170,donald,james,pease,,9/26/1931,oh,d,no,1/4/1977,45.3
95,house,m000399,joseph,michael,mcdade,,9/29/1931,pa,r,yes,1/4/1977,45.3
95,house,e000258,thomas,beverley,evans,jr.,11/5/1931,de,r,no,1/4/1977,45.2
95,house,s000810,fortney,h.,stark,,11/11/1931,ca,d,yes,1/4/1977,45.1
95,house,m000794,norman,yoshio,mineta,,11/12/1931,ca,d,yes,1/4/1977,45.1
95,house,s000465,ike,,skelton,,12/20/1931,mo,d,no,1/4/1977,45
95,house,r000012,thomas,fisher,railsback,,1/22/1932,il,r,yes,1/4/1977,45
95,house,s000394,elmer,greinert,shuster,,1/23/1932,pa,r,yes,1/4/1977,45
95,house,j000033,andrew,,jacobs,jr.,2/24/1932,in,d,yes,1/4/1977,44.9
95,house,y000028,andrew,jackson,young,jr.,3/12/1932,ga,d,yes,1/4/1977,44.8
95,house,m001101,morgan,francis,murphy,,4/16/1932,il,d,yes,1/4/1977,44.7
95,house,p000134,edward,worthington,pattison,,4/29/1932,ny,d,yes,1/4/1977,44.7
95,house,m001120,john,p.,murtha,,6/17/1932,pa,d,yes,1/4/1977,44.6
95,house,b001102,yvonne,brathwaite,burke,,10/5/1932,ca,d,yes,1/4/1977,44.2
95,house,h000930,william,john,hughes,,10/17/1932,nj,d,yes,1/4/1977,44.2
95,house,b000682,david,reece,bowen,,10/21/1932,ms,d,yes,1/4/1977,44.2
